pubmed-id,citation,parent_key
14985103,"Nagy H, Goda K, Fenyvesi F, Bacso Z, Szilasi M, Kappelmayer J, Lustyik G, Cianfriglia M, Szabo G Jr: Distinct groups of multidrug resistance modulating agents are distinguished by competition of P-glycoprotein-specific antibodies. Biochem Biophys Res Commun. 2004 Mar 19;315(4):942-9.",BE0001032
10692506,"Madon J, Hagenbuch B, Landmann L, Meier PJ, Stieger B: Transport function and hepatocellular localization of mrp6 in rat liver. Mol Pharmacol. 2000 Mar;57(3):634-41.",BE0001069
12387747,"Romiti N, Tramonti G, Chieli E: Influence of different chemicals on MDR-1 P-glycoprotein expression and activity in the HK-2 proximal tubular cell line. Toxicol Appl Pharmacol. 2002 Sep 1;183(2):83-91.",BE0001032
10820137,"Choo EF, Leake B, Wandel C, Imamura H, Wood AJ, Wilkinson GR, Kim RB: Pharmacological inhibition of P-glycoprotein transport enhances the distribution of HIV-1 protease inhibitors into brain and testes. Drug Metab Dispos. 2000 Jun;28(6):655-60.",BE0001032
10891114,"Tiberghien F, Kurome T, Takesako K, Didier A, Wenandy T, Loor F: Aureobasidins: structure-activity relationships for the inhibition of the human MDR1 P-glycoprotein ABC-transporter. J Med Chem. 2000 Jun 29;43(13):2547-56.",BE0001032
11405287,"Gao J, Murase O, Schowen RL, Aube J, Borchardt RT: A functional assay for quantitation of the apparent affinities of ligands of P-glycoprotein in Caco-2 cells. Pharm Res. 2001 Feb;18(2):171-6.",BE0001032
11716514,"Wang EJ, Casciano CN, Clement RP, Johnson WW: Active transport of fluorescent P-glycoprotein substrates: evaluation as markers and interaction with inhibitors. Biochem Biophys Res Commun. 2001 Nov 30;289(2):580-5.",BE0001032
11784143,"Leonessa F, Kim JH, Ghiorghis A, Kulawiec RJ, Hammer C, Talebian A, Clarke R: C-7 analogues of progesterone as potent inhibitors of the P-glycoprotein efflux pump. J Med Chem. 2002 Jan 17;45(2):390-8.",BE0001032
11961113,"Ekins S, Kim RB, Leake BF, Dantzig AH, Schuetz EG, Lan LB, Yasuda K, Shepard RL, Winter MA, Schuetz JD, Wikel JH, Wrighton SA: Three-dimensional quantitative structure-activity relationships of inhibitors of P-glycoprotein. Mol Pharmacol. 2002 May;61(5):964-73.",BE0001032
12134945,"Tang F, Horie K, Borchardt RT: Are MDCK cells transfected with the human MDR1 gene a good model of the human intestinal mucosa? Pharm Res. 2002 Jun;19(6):765-72.",BE0001032
12604693,"Kumar S, Kwei GY, Poon GK, Iliff SA, Wang Y, Chen Q, Franklin RB, Didolkar V, Wang RW, Yamazaki M, Chiu SH, Lin JH, Pearson PG, Baillie TA: Pharmacokinetics and interactions of a novel antagonist of chemokine receptor 5 (CCR5) with ritonavir in rats and monkeys: role of CYP3A and P-glycoprotein. J Pharmacol Exp Ther. 2003 Mar;304(3):1161-71.",BE0001032
12636153,"Horie K, Tang F, Borchardt RT: Isolation and characterization of Caco-2 subclones expressing high levels of multidrug resistance protein efflux transporter. Pharm Res. 2003 Feb;20(2):161-8.",BE0001032
12699389,"Schwab D, Fischer H, Tabatabaei A, Poli S, Huwyler J: Comparison of in vitro P-glycoprotein screening assays: recommendations for their use in drug discovery. J Med Chem. 2003 Apr 24;46(9):1716-25.",BE0001032
12724138,"Atkinson DE, Greenwood SL, Sibley CP, Glazier JD, Fairbairn LJ: Role of MDR1 and MRP1 in trophoblast cells, elucidated using retroviral gene transfer. Am J Physiol Cell Physiol. 2003 Sep;285(3):C584-91. Epub 2003 Apr 30.",BE0001032
12975485,"Hamada A, Miyano H, Watanabe H, Saito H: Interaction of imatinib mesilate with human P-glycoprotein. J Pharmacol Exp Ther. 2003 Nov;307(2):824-8. Epub 2003 Sep 15.",BE0001032
14604686,"Corea G, Fattorusso E, Lanzotti V, Taglialatela-Scafati O, Appendino G, Ballero M, Simon PN, Dumontet C, Di Pietro A: Modified jatrophane diterpenes as modulators of multidrug resistance from Euphorbia dendroides L. Bioorg Med Chem. 2003 Nov 17;11(23):5221-7.",BE0001032
7514263,"Rao US, Scarborough GA: Direct demonstration of high affinity interactions of immunosuppressant drugs with the drug binding site of the human P-glycoprotein. Mol Pharmacol. 1994 Apr;45(4):773-6.",BE0001032
8960059,"Pouliot JF, L'Heureux F, Liu Z, Prichard RK, Georges E: Reversal of P-glycoprotein-associated multidrug resistance by ivermectin. Biochem Pharmacol. 1997 Jan 10;53(1):17-25.",BE0001032
9205004,"Kuhnel JM, Perrot JY, Faussat AM, Marie JP, Schwaller MA: Functional assay of multidrug resistant cells using JC-1, a carbocyanine fluorescent probe. Leukemia. 1997 Jul;11(7):1147-55.",BE0001032
9262363,"Ito T, Yano I, Tanaka K, Inui KI: Transport of quinolone antibacterial drugs by human P-glycoprotein expressed in a kidney epithelial cell line, LLC-PK1. J Pharmacol Exp Ther. 1997 Aug;282(2):955-60.",BE0001032
9732409,"Kim AE, Dintaman JM, Waddell DS, Silverman JA: Saquinavir, an HIV protease inhibitor, is transported by P-glycoprotein. J Pharmacol Exp Ther. 1998 Sep;286(3):1439-45.",BE0001032
9914792,"Kusunoki N, Takara K, Tanigawara Y, Yamauchi A, Ueda K, Komada F, Ku Y, Kuroda Y, Saitoh Y, Okumura K: Inhibitory effects of a cyclosporin derivative, SDZ PSC 833, on transport of doxorubicin and vinblastine via human P-glycoprotein. Jpn J Cancer Res. 1998 Nov;89(11):1220-8.",BE0001032
10087141,"Golstein PE, Boom A, van Geffel J, Jacobs P, Masereel B, Beauwens R: P-glycoprotein inhibition by glibenclamide and related compounds. Pflugers Arch. 1999 Apr;437(5):652-60.",BE0001032
10198227,"Wigler PW: PSC833, cyclosporin A, and dexniguldipine effects on cellular calcein retention and inhibition of the multidrug resistance pump in human leukemic lymphoblasts. Biochem Biophys Res Commun. 1999 Apr 13;257(2):410-3.",BE0001032
10604964,"Hochman JH, Chiba M, Nishime J, Yamazaki M, Lin JH: Influence of P-glycoprotein on the transport and metabolism of indinavir in Caco-2 cells expressing cytochrome P-450 3A4. J Pharmacol Exp Ther. 2000 Jan;292(1):310-8.",BE0001032
14744620,"Asakura E, Nakayama H, Sugie M, Zhao YL, Nadai M, Kitaichi K, Shimizu A, Miyoshi M, Takagi K, Takagi K, Hasegawa T: Azithromycin reverses anticancer drug resistance and modifies hepatobiliary excretion of doxorubicin in rats. Eur J Pharmacol. 2004 Jan 26;484(2-3):333-9.",BE0001032
15023456,"D'Emanuele A, Jevprasesphant R, Penny J, Attwood D: The use of a dendrimer-propranolol prodrug to bypass efflux transporters and enhance oral bioavailability. J Control Release. 2004 Mar 24;95(3):447-53.",BE0001032
15504753,"Honda Y, Ushigome F, Koyabu N, Morimoto S, Shoyama Y, Uchiumi T, Kuwano M, Ohtani H, Sawada Y: Effects of grapefruit juice and orange juice components on P-glycoprotein- and MRP2-mediated drug efflux. Br J Pharmacol. 2004 Dec;143(7):856-64. Epub 2004 Oct 25.",BE0001032
14985103,"Nagy H, Goda K, Fenyvesi F, Bacso Z, Szilasi M, Kappelmayer J, Lustyik G, Cianfriglia M, Szabo G Jr: Distinct groups of multidrug resistance modulating agents are distinguished by competition of P-glycoprotein-specific antibodies. Biochem Biophys Res Commun. 2004 Mar 19;315(4):942-9.",BE0001032
12235267,"Yasuda K, Lan LB, Sanglard D, Furuya K, Schuetz JD, Schuetz EG: Interaction of cytochrome P450 3A inhibitors with P-glycoprotein. J Pharmacol Exp Ther. 2002 Oct;303(1):323-32.",BE0001032
19530439,"Kugawa F, Suzuki T, Miyata M, Tomono K, Tamanoi F: Construction of a model cell line for the assay of MDR1 (multi drug resistance gene-1) substrates/inhibitors using HeLa cells. Pharmazie. 2009 May;64(5):296-300.",BE0001032
19319690,"Dahan A, Sabit H, Amidon GL: The H2 receptor antagonist nizatidine is a P-glycoprotein substrate: characterization of its intestinal epithelial cell efflux transport. AAPS J. 2009 Jun;11(2):205-13. doi: 10.1208/s12248-009-9092-5. Epub 2009 Mar 25.",BE0001032
11602674,"Polli JW, Wring SA, Humphreys JE, Huang L, Morgan JB, Webster LO, Serabjit-Singh CS: Rational use of in vitro P-glycoprotein assays in drug discovery. J Pharmacol Exp Ther. 2001 Nov;299(2):620-8.",BE0001032
11785684,"Adachi Y, Suzuki H, Sugiyama Y: Comparative studies on in vitro methods for evaluating in vivo function of MDR1 P-glycoprotein. Pharm Res. 2001 Dec;18(12):1660-8.",BE0001032
12880295,"Seeballuck F, Ashford MB, O'Driscoll CM: The effects of pluronics block copolymers and Cremophor EL on intestinal lipoprotein processing and the potential link with P-glycoprotein in Caco-2 cells. Pharm Res. 2003 Jul;20(7):1085-92.",BE0001032
12948019,"Troutman MD, Thakker DR: Novel experimental parameters to quantify the modulation of absorptive and secretory transport of compounds by P-glycoprotein in cell culture models of intestinal epithelium. Pharm Res. 2003 Aug;20(8):1210-24.",BE0001032
7681059,"Saeki T, Ueda K, Tanigawara Y, Hori R, Komano T: Human P-glycoprotein transports cyclosporin A and FK506. J Biol Chem. 1993 Mar 25;268(9):6077-80.",BE0001032
8842452,"Fricker G, Drewe J, Huwyler J, Gutmann H, Beglinger C: Relevance of p-glycoprotein for the enteral absorption of cyclosporin A: in vitro-in vivo correlation. Br J Pharmacol. 1996 Aug;118(7):1841-7.",BE0001032
9333100,"Lown KS, Mayo RR, Leichtman AB, Hsiao HL, Turgeon DK, Schmiedlin-Ren P, Brown MB, Guo W, Rossi SJ, Benet LZ, Watkins PB: Role of intestinal P-glycoprotein (mdr1) in interpatient variation in the oral bioavailability of cyclosporine. Clin Pharmacol Ther. 1997 Sep;62(3):248-60.",BE0001032
10227700,"Soldner A, Christians U, Susanto M, Wacher VJ, Silverman JA, Benet LZ: Grapefruit juice activates P-glycoprotein-mediated drug transport. Pharm Res. 1999 Apr;16(4):478-85.",BE0001032
17045309,"Baltes S, Gastens AM, Fedrowitz M, Potschka H, Kaever V, Loscher W: Differences in the transport of the antiepileptic drugs phenytoin, levetiracetam and carbamazepine by human and mouse P-glycoprotein. Neuropharmacology. 2007 Feb;52(2):333-46. Epub 2006 Oct 10.",BE0001032
11585759,"Zeng H, Chen ZS, Belinsky MG, Rea PA, Kruh GD: Transport of methotrexate (MTX) and folates by multidrug resistance protein (MRP) 3 and MRP1: effect of polyglutamylation on MTX transport. Cancer Res. 2001 Oct 1;61(19):7225-32.",BE0001061
12404239,"Byrne JA, Strautnieks SS, Mieli-Vergani G, Higgins CF, Linton KJ, Thompson RJ: The human bile salt export pump: characterization of substrate specificity and identification of inhibitors. Gastroenterology. 2002 Nov;123(5):1649-58.",BE0000703
12739759,"Wang EJ, Casciano CN, Clement RP, Johnson WW: Fluorescent substrates of sister-P-glycoprotein (BSEP) evaluated as markers of active transport and inhibition: evidence for contingent unequal binding sites. Pharm Res. 2003 Apr;20(4):537-44.",BE0000703
11343252,"Noe J, Hagenbuch B, Meier PJ, St-Pierre MV: Characterization of the mouse bile salt export pump overexpressed in the baculovirus system. Hepatology. 2001 May;33(5):1223-31.",BE0000703
