text,parent_key
"Dan shen, dong quai, evening primrose oil, gingko, policosanol, willow bark",DB00006
Echinacea,DB00006
Recommended adequate hydration.,DB00008
Avoid alcohol.,DB00011
Avoid alcohol.,DB00034
Inject subcutaneuosly 15 minutes before meal,DB00046
Ethanol,DB00067
"Delayed release capsules should not be broken or crushed, but for those patients who cannot swallow the capsules, sprinkle the contents of the capsule onto soft acidic foods (pH of ≤4.5). Alkaline foods with a higher pH will promote early release of pancrelipase followed by enzyme inactivation in the stomach.   ",DB00085
"Multivitamins/minerals which have vitamins ADEK, folate, or iron: If pancrelipase is used in combination with multivitamins/minerals that have vitamins ADEK, folate, or iron then monitor therapy because pancrelipase may decrease absorption of iron in these multivitamin/mineral products.",DB00085
Take pancrelipase with meals and a sufficient amount of water.,DB00085
Avoid salt substitutes containing potassium.,DB00091
Avoid taking with grapefruit or grapefruit juice as grapefruit can significantly increase serum levels of this product.,DB00091
"Red wine may reduce cyclosporine levels due to increased metabolism, therefore it appears prudent  to avoid red wine (white wine does not appear to affect cyclosporine metabolism).",DB00091
"When taken with a meal, AUC and Cmax of cyclosporine modified decreased.",DB00091
Avoid alcohol.,DB00105
Take with food.,DB00134
Avoid alcohol.,DB00175
Avoid drastic changes in dietary habit.,DB00175
Take without regard to meals.,DB00175
Avoid alcohol.,DB00176
Avoid high doses of caffeine.,DB00176
Grapefruit and grapefruit juice should be avoided throughout treatment as grapefruit can significantly increase serum levels of this product.,DB00176
Take without regard to meals.,DB00176
Alcohol may increase the vasodilatory effects of ramipril. ,DB00178
"Herbs that may attenuate the antihypertensive effect of ramipril include: bayberry, blue cohash, cayenne, ephedra, ginger, ginseng (American), kola and licorice.  ",DB00178
High salt intake may attenuate the antihypertensive effect of ramipril. ,DB00178
Ramipril decreases the excretion of potassium. Salt substitutes containing potassium increase the risk of hyperkalemia. ,DB00178
Take without regard to meals.,DB00178
Avoid alcohol.,DB00181
Take without regard to meals.,DB00181
Avoid alcohol.,DB00186
Avoid excessive quantities of coffee or tea (Caffeine).,DB00186
Take with food.,DB00186
Citrus fruits - Patients should avoid taking extra vitamin C (ascorbic acid) supplements and vitamin C-containing multi-vitamins during their bortezomib therapy. Ascorbic Acid may diminish the therapeutic effect of Bortezomib.,DB00188
Green Tea - Green Tea may diminish the antineoplastic effect of Bortezomib. Avoid concurrent use of green tea extract and other green tea products during treatment with bortezomib. ,DB00188
Avoid alcohol,DB00189
Take with food to reduce irritation.,DB00189
Limit caffeine intake.,DB00191
Take without regard to meals.,DB00191
"Oral administration of tramadol hydrochloride with food does not significantly affect its rate or extent of absorption, therefore, tramadol hydrochloride can be administered without regard to food.",DB00193
Take without regard to meals.,DB00196
Take without regard to meals. Food may improve gastric tolerance.,DB00198
Avoid alcohol.,DB00199
Take on empty stomach: 1 hour before or 2 hours after meals.,DB00199
Take with a full glass of water Avoid taking with grapefruit juice.,DB00199
Folic acid needs increased.,DB00205
Take with food to reduce irritation.,DB00205
"Magnesium, potassium and zinc needs increased.",DB00206
Take with food to reduce irritation. Avoid alcohol.,DB00206
Do not take Aluminum or magnesium antacids or supplements while on this medication.,DB00207
Take on empty stomach: 1 hour before or 2 hours after meals.,DB00207
"High fat meals will increase ticlopidine absorption. As well, food can help ticlopidine-induced stomach upset.",DB00208
Take without regard to meals.,DB00211
Take without regard to meals.,DB00213
Avoid alcohol.,DB00215
Avoid St.John's Wort.,DB00215
Take without regard to meals.,DB00215
Exposure to the product (area below curve) and  maximum concentrations are increased when product is taken with a high-fat meal.,DB00216
Take without regard to meals. Drink liberally. Absorption is not affected by lipid-rich meals or yogourt.,DB00218
Food significantly increases absorption (2 to 3 times).,DB00220
Take with food.,DB00220
Avoid alcohol.,DB00222
"Even though food reduces product absorption, the manufacturer recommends taking the product with the first meal of the day.",DB00222
Avoid excessive or chronic alcohol use.,DB00224
Avoid taking with grapefruit juice,DB00224
Take on empty stomach: 1 hour before or 2 hours after meals.,DB00224
Take with a full glass of water.,DB00224
Avoid alcohol.,DB00227
Avoid drastic changes in dietary habit.,DB00227
Avoid taking with grapefruit juice.,DB00227
"Take with food, 50% increase in bioavailability when taken with food.",DB00227
Avoid alcohol (may increase CNS effects).,DB00230
"When taken with food, Cmax decreases, while Tmax is prolonged. Despite these observations, the total absorption of pregabalin is not effected to a clinically relevant degree. Pregabalin can be taken with or without food. ",DB00230
Avoid alcohol.,DB00231
Avoid avocado.,DB00231
Avoid excessive quantities of coffee or tea (Caffeine).,DB00231
Take without regard to meals.,DB00233
Avoid alcohol.,DB00238
Take without regard to meals.,DB00238
"Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use. ",DB00242
Grapefruit and grapefruit juice should be avoided throughout treatment.,DB00243
Take without regard to meals.,DB00243
Take without regard to meals.,DB00244
Avoid alcohol.,DB00245
Take with food to reduce irritation.,DB00245
Avoid alcohol.,DB00246
Take with food to reduce irritation.,DB00247
Absorption is not affected by food.,DB00248
Take with food to improve tolerance.,DB00248
Take without regard to meals.,DB00250
Avoid alcohol.,DB00252
"Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication.",DB00252
Take with food to increase bioavailability and reduce irritation.,DB00252
Avoid alcohol.,DB00254
"Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication.",DB00254
"Take with a full glass of water Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication.",DB00254
"Do not to take any indigestion remedies, iron or zinc supplements at the same time as this medicine.",DB00256
"Food appears to reduce the area under the curve by 13.8%, without clinical consequence.",DB00261
Take without regard to meals.,DB00261
Echinacea,DB00262
Avoid alcohol.,DB00264
Avoid natural licorice.,DB00264
Take with food.,DB00264
"Following a single dose of the extended-release formulation with a high fat meal, Cmax of topiramate increased by 37% and shortened the Tmax to approximately 8 hours. AUC was not effected. According to the FDA label, Trokendi XR can be taken without regard to food.",DB00273
Food does not affect the bioavailability of olmesartan.,DB00275
Avoid alcohol.,DB00277
Avoid excessive quantities of coffee or tea (Caffeine).,DB00277
Take with food.,DB00277
"Herbs and food with anticoagulant/antiplatelet activity. Major interactions may occur with danshen, dong quai, evening primrose oil, gingko, policosanol, willow bark",DB00278
Avoid alcohol.,DB00280
Take without regard to meals.,DB00280
Avoid alcohol.,DB00283
Take with food.,DB00283
"Take with food, at beginning of each meal.",DB00284
Avoid alcohol.,DB00285
Avoid St.John's Wort.,DB00285
Take with food.,DB00285
"In the presence of food, the absorption rate is reduced, without the quantity absorbed being affected.",DB00289
Take without regard to meals.,DB00289
Drink liberally.,DB00291
"Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use.",DB00291
Food reduces bioavailability.,DB00291
Take on an empty stomach.,DB00291
Avoid alcohol.,DB00294
Avoid excessive quantities of coffee or tea (Caffeine).,DB00294
"Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin.",DB00294
Take at the same time everyday.,DB00294
Take with food.,DB00294
Avoid alcohol.,DB00295
Take with food.,DB00295
"To avoid constipation: increase your daily intake of fiber (beans, whole grains, vegetables).",DB00295
"When given with a high-fat meal, the oral bioavailability, AUC, and Cmax increased. ",DB00300
Take on an empty stomach.,DB00301
Take with food (increases availability).,DB00310
Avoid alcohol.,DB00313
Do not take with milk.,DB00313
Take with food.,DB00313
Avoid alcohol (may increase risk of hepatotoxicity).,DB00316
Take without regard to meals.,DB00316
Avoid fresh grapefruit and its juice during therapy as grapefruit may increase serum product levels.,DB00317
Take without regard to meals.,DB00317
Avoid alcohol.,DB00318
"Take with food, food reduces irritation.",DB00318
"To avoid constipation: increase your daily intake of fiber (beans, whole grains, vegetables).",DB00318
Avoid alcohol.,DB00321
Avoid excessive quantities of coffee or tea (caffeine).,DB00321
Avoid St.John's Wort.,DB00321
Take with food to reduce irritation.,DB00321
Take without regard to meals. Avoid alcohol.,DB00327
Avoid alcohol.,DB00328
Take with food or antacids to reduce irritation.,DB00328
Take with food to reduce irritation.,DB00330
Avoid alcohol.,DB00331
Take with food to reduce gastric irritation.,DB00331
Take without regard to meals. Avoid alcohol. Usually diluted in fruit juice.,DB00333
Avoid alcohol.,DB00334
Take without regard to meals.,DB00334
Consult your doctor before taking large amounts of Vitamin K (Green leafy vegetables).,DB00335
"Take 30-60 minutes before meals, take at the same time each day.",DB00335
Avoid alcohol.,DB00338
Take 30-60 minutes before meals.,DB00338
Take without regard to meals.,DB00339
Avoid alcohol.,DB00341
Take without regard to meals.,DB00341
Avoid natural licorice.,DB00343
Take this medication 30 minutes before meals.,DB00343
"Take after a meal (always the same meal), product bioavailability is reduced when taken on an empty stomach.",DB00346
Alcohol increases clobazam absorption by 50%.,DB00349
Take without regard to meals.,DB00349
Take without regard to meals.,DB00350
Take with food.,DB00351
Avoid alcohol.,DB00356
Take without regard to meals.,DB00356
Take without regard to meals.,DB00357
Avoid alcohol.,DB00358
Take with a full glass of water.,DB00358
Take with food.,DB00358
Avoid alcohol.,DB00363
Limit caffeine intake (may reduce clozapine matabolism).,DB00363
Take without regard to meals.,DB00363
Avoid alcohol.,DB00364
"Do not take calcium, aluminum, magnesium or Iron supplements within 2 hours of taking this medication.",DB00364
Take on empty stomach: 1 hour before or 2 hours after meals.,DB00364
Take with a full glass of water.,DB00364
Drink liberally but avoid coffee.,DB00365
Take without regard to meals.,DB00365
Avoid alcohol.,DB00367
Avoid excessive quantities of coffee or tea (Caffeine).,DB00367
"Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin.",DB00367
Take at the same time everyday.,DB00367
Take with food.,DB00367
Take without regard to meals. Avoid alcohol.,DB00370
Take without regard to meals. Avoid alcohol.,DB00371
Take with food.,DB00375
Take with food to reduce irritation.,DB00379
Avoid natural licorice.,DB00381
"Grapefruit down regulates post-translational expression of CYP3A4, the major metabolizing enzyme of amlodipine. Grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of amlodipine and may cause toxicity. Avoid grapefruit products while on this medication. ",DB00381
Take without regard to meals.,DB00381
Take without regard to meals.,DB00388
Avoid avocado.,DB00390
Avoid bran and high fiber foods within 2 hours of taking this medication.,DB00390
Avoid excess salt/sodium unless otherwise instructed by your physician.,DB00390
"Avoid milk, calcium containing dairy products, iron, antacids, or aluminum salts 2 hours before or 6 hours after using antacids while on this medication.",DB00390
Avoid salt substitutes containing potassium.,DB00390
"Limit garlic, ginger, gingko, and horse chestnut.",DB00390
"Grapefruit down regulates post-translational expression of CYP3A4, the major metabolizing enzyme of nimodipine. Grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of nimodipine and may cause toxicity. Avoid grapefruit products while on this medication.",DB00393
"Take at the same time each day, with or without food, but always in the same manner.",DB00393
No food effects were found when given with beclomethasone dipropionate.,DB00394
Avoid alcohol.,DB00395
Take without regard to meals.,DB00395
Avoid alcohol.,DB00396
Avoid excessive quantities of coffee or tea (Caffeine).,DB00396
"Increase dietary intake of magnesium, folate, vitamin B6, B12, and/or consider taking a multivitamin.",DB00396
Take at the same time everyday.,DB00396
Take with food.,DB00396
Limit caffeine intake.,DB00397
Take without regard to meals.,DB00397
 Avoid alcohol.,DB00400
"Take this medication with a high fat meal, fatty foods increase bioavailability.",DB00400
"Do not take with grapefruit juice as this has been shown to interfere with nisoldipine metabolism, resulting in a mean increase in C<sub>max</sub> of about 3-fold (up to about 7-fold) and AUC of almost 2-fold (up to 5-fold).",DB00401
Avoid alcohol.,DB00404
Avoid excessive quantities of coffee or tea (Caffeine).,DB00404
Avoid taking with grapefruit juice.,DB00404
Take with food.,DB00404
Take with food to reduce irritation. Avoid alcohol.,DB00408
Take without regard to meals.,DB00409
"Take without regard to meals, however if nausea is a problem, taking the product with food may reduce its incidence.",DB00413
Avoid alcohol.,DB00414
Take without regard to meals.,DB00414
Take on an empty stomach.,DB00415
