parent_key,synonym,language,coder
DB00001,Hirudin variant-1,,
DB00001,Lepirudin recombinant,,
DB00002,Cetuximab,German/Spanish,INN
DB00002,Cétuximab,French,INN
DB00002,Cetuximabum,Latin,INN
DB00002,"Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer",,WHO
DB00003,Deoxyribonuclease (human clone 18-1 protein moiety),,
DB00003,"Dornase alfa, recombinant",,
DB00003,Dornase alpha,,
DB00003,Recombinant deoxyribonuclease (DNAse),,
DB00004,Diphtheria toxin precursor,,
DB00004,DT,,
DB00004,NAD(+--diphthamide ADP- ribosyltransferase),,
DB00005,Etanercept-szzs,,
DB00005,RHU TNFR:FC,,
DB00005,RHU-TNFR:FC,,
DB00005,TNFR-Immunoadhesin,,
DB00006,Bivalirudina,Spanish,
DB00006,Bivalirudinum,Latin,
DB00006,Hirulog,,
DB00007,"(D-Leu(6),des-gly-NH2(10),pro-ethylamide(9))-gonadotropin-releasing hormone",,
DB00007,L-Pyroglutamyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-D-leucyl-L-leucyl-L-arginyl-L-proline ethylamide,,
DB00007,Leuprorelin,,
DB00007,Leuprorelina,,
DB00007,Leuproreline,,
DB00007,Leuprorelinum,,
DB00007,PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-NHC2H5,,
DB00007,PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-nhet,,
DB00008,Pegylated interferon alfa-2a,,
DB00008,Pegylated interferon alpha2a,,
DB00009,Alteplase (genetical recombination),,
DB00009,"Alteplase, recombinant",,
DB00009,"Alteplase,recombinant",,
DB00009,Plasminogen activator (human tissue-type protein moiety),,
DB00009,rt-PA,,
DB00009,t-PA,,
DB00009,t-plasminogen activator,,
DB00009,Tissue plasminogen activator,,
DB00009,Tissue plasminogen activator alteplase,,
DB00009,"Tissue plasminogen activator, recombinant",,
DB00009,tPA,,
DB00011,Interferon alpha-2,,
DB00011,Interferon alpha-A,,
DB00011,Interferon alpha-n1 (Ins),,
DB00011,LeIF A,,
DB00012,Darbepoetin,,
DB00012,"Darbepoetin alfa,recombinant",,
DB00013,U-plasminogen activator,,
DB00013,uPA,,
DB00013,Urokinase-type plasminogen activator precursor,,
DB00015,Human t-PA (residues 1-3 and 176-527),,
DB00015,"Reteplase, recombinant",,
DB00015,"Reteplase,recombinant",,
DB00016,E.P.O.,,
DB00016,Epoetin alfa,,
DB00016,Epoetin alfa rDNA,,
DB00016,Epoetin alfa-epbx,,
DB00016,"Epoetin alfa, recombinant",,
DB00016,Epoetin beta,,
DB00016,Epoetin beta rDNA,,
DB00016,Epoetin epsilon,,
DB00016,Epoetin gamma,,
DB00016,Epoetin gamma rDNA,,
DB00016,Epoetin kappa,,
DB00016,Epoetin omega,,
DB00016,Epoetin theta,,
DB00016,Epoetin zeta,English/German,
DB00016,Epoetina dseta,Spanish,
DB00016,Epoétine zêta,French,
DB00016,Epoetinum zeta,Latin,
DB00016,Erythropoiesis stimulating factor,,
DB00016,"Erythropoietin (human, recombinant)",,
DB00016,Erythropoietin (recombinant human),,
DB00016,ESF,,
DB00016,SH-polypeptide-72,,
DB00017,Calcitonin (Salmon Synthetic),,
DB00017,Calcitonin Salmon,,
DB00017,Calcitonin salmon recombinant,,
DB00017,Calcitonin-salmon,,
DB00017,"Calcitonin, salmon",,
DB00017,Recombinant salmon calcitonin,,EMA
DB00017,Salmon calcitonin,,
DB00019,Granulocyte colony-stimulating factor pegfilgrastim,,
DB00019,Peg-filgrastim,,
DB00019,pegfilgrastim-jmdb,,
DB00020,GM-CSF,,
DB00023,Asparaginase,,
DB00023,Asparaginase (E. coli),,
DB00023,Colaspase,,BAN
DB00023,Escherichia coli L-asparaginase,,
DB00023,L-asparaginase,,
DB00023,L-asparagine amidohydrolase,,
DB00024,rTSH,,
DB00024,Thyroid stimulating hormone,,
DB00024,Thyrotrophin-alfa,,
DB00024,Thyrotrophin-alpha,,
DB00024,Thyrotropin,,
DB00024,Thyrotropin-a,,
DB00024,Thyrotropin-alpha,,
DB00024,Thytrophin,,
DB00024,TSH,,
DB00025,Antihemophilic factor (recombinant),,
DB00025,Antihemophilic factor recombinant,,
DB00025,"Antihemophilic factor, human recombinant",,
DB00025,"Antihemophilic factor, recombinant",,
DB00025,Factor VIII (rDNA),,
DB00025,Factor VIII (Recombinant),,
DB00025,Factor VIII recombin,,
DB00025,"Factor VIII, recombinant",,WHO-DD
DB00025,Human Factor VIII (Recombinant),,
