id,name,organism,known_action,position,parent_key
BE0000048,Prothrombin,Human,yes,NA,DB00001
BE0000767,Epidermal growth factor receptor,Human,yes,1,DB00002
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,2,DB00002
BE0002093,Complement C1r subcomponent,Human,unknown,3,DB00002
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,4,DB00002
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,5,DB00002
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,6,DB00002
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,unknown,7,DB00002
BE0001529,Complement C1s subcomponent,Human,unknown,8,DB00002
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,unknown,9,DB00002
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,unknown,10,DB00002
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,unknown,11,DB00002
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,unknown,12,DB00002
BE0004796,DNA,Human,yes,NA,DB00003
BE0000658,Interleukin-2 receptor subunit alpha,Human,yes,1,DB00004
BE0000651,Interleukin-2 receptor subunit beta,Human,yes,2,DB00004
BE0002102,Cytokine receptor common subunit gamma,Human,unknown,3,DB00004
BE0000704,Tumor necrosis factor,Human,yes,1,DB00005
BE0000949,Tumor necrosis factor receptor superfamily member 1B,Human,unknown,2,DB00005
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,unknown,3,DB00005
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,unknown,4,DB00005
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,unknown,5,DB00005
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,unknown,6,DB00005
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,unknown,7,DB00005
BE0001087,Lymphotoxin-alpha,Human,unknown,8,DB00005
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,9,DB00005
BE0001529,Complement C1s subcomponent,Human,unknown,10,DB00005
BE0002093,Complement C1r subcomponent,Human,unknown,11,DB00005
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,12,DB00005
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,13,DB00005
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,14,DB00005
BE0000048,Prothrombin,Human,yes,NA,DB00006
BE0000203,Gonadotropin-releasing hormone receptor,Human,yes,NA,DB00007
BE0000385,Interferon alpha/beta receptor 2,Human,yes,NA,DB00008
BE0000661,Interferon alpha/beta receptor 1,Human,yes,NA,DB00008
BE0000211,Plasminogen,Human,yes,1,DB00009
BE0000538,Fibrinogen alpha chain,Human,yes,2,DB00009
BE0000717,Urokinase plasminogen activator surface receptor,Human,unknown,3,DB00009
BE0000240,Plasminogen activator inhibitor 1,Human,unknown,4,DB00009
BE0000625,Growth hormone-releasing hormone receptor,Human,yes,NA,DB00010
BE0000385,Interferon alpha/beta receptor 2,Human,yes,1,DB00011
BE0000661,Interferon alpha/beta receptor 1,Human,yes,2,DB00011
BE0000654,Erythropoietin receptor,Human,yes,NA,DB00012
BE0000211,Plasminogen,Human,yes,1,DB00013
BE0000717,Urokinase plasminogen activator surface receptor,Human,yes,2,DB00013
BE0000895,Urokinase-type plasminogen activator,Human,yes,3,DB00013
BE0001088,Tissue-type plasminogen activator,Human,yes,4,DB00013
BE0000240,Plasminogen activator inhibitor 1,Human,yes,5,DB00013
BE0000969,Plasminogen activator inhibitor 2,Human,yes,6,DB00013
BE0002112,Plasma serine protease inhibitor,Human,unknown,7,DB00013
BE0000942,Low-density lipoprotein receptor-related protein 2,Human,unknown,8,DB00013
BE0001656,Suppressor of tumorigenicity 14 protein,Human,unknown,9,DB00013
BE0002113,Nidogen-1,Human,unknown,10,DB00013
BE0000134,Lutropin-choriogonadotropic hormone receptor,Human,yes,1,DB00014
BE0000203,Gonadotropin-releasing hormone receptor,Human,yes,2,DB00014
BE0000211,Plasminogen,Human,yes,1,DB00015
BE0000538,Fibrinogen alpha chain,Human,yes,2,DB00015
BE0000717,Urokinase plasminogen activator surface receptor,Human,unknown,3,DB00015
BE0000240,Plasminogen activator inhibitor 1,Human,unknown,4,DB00015
BE0000654,Erythropoietin receptor,Human,yes,NA,DB00016
BE0000431,Calcitonin receptor,Human,unknown,NA,DB00017
BE0000661,Interferon alpha/beta receptor 1,Human,yes,NA,DB00018
BE0000385,Interferon alpha/beta receptor 2,Human,yes,NA,DB00018
BE0000793,Granulocyte colony-stimulating factor receptor,Human,yes,NA,DB00019
BE0000394,Neutrophil elastase,Human,unknown,NA,DB00019
BE0000628,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,Human,yes,1,DB00020
BE0001036,Interleukin-3 receptor subunit alpha,Human,yes,2,DB00020
BE0002115,Cytokine receptor common subunit beta,Human,yes,3,DB00020
BE0002116,Syndecan-2,Human,unknown,4,DB00020
BE0002114,Bone marrow proteoglycan,Human,unknown,5,DB00020
BE0000318,Secretin receptor,Human,yes,NA,DB00021
BE0000661,Interferon alpha/beta receptor 1,Human,yes,NA,DB00022
BE0000385,Interferon alpha/beta receptor 2,Human,yes,NA,DB00022
BE0004798,L-asparagine,Human,yes,NA,DB00023
BE0000490,Thyrotropin receptor,Human,yes,NA,DB00024
BE0000216,Coagulation factor X,Human,yes,1,DB00025
BE0000364,Coagulation factor IX,Human,yes,2,DB00025
BE0001043,von Willebrand factor,Human,yes,3,DB00025
BE0002117,"Phytanoyl-CoA dioxygenase, peroxisomal",Human,unknown,4,DB00025
BE0002118,Asialoglycoprotein receptor 2,Human,unknown,6,DB00025
BE0001098,78 kDa glucose-regulated protein,Human,unknown,7,DB00025
BE0002109,Calreticulin,Human,unknown,7,DB00025
BE0001011,Calnexin,Human,unknown,8,DB00025
BE0002119,Protein ERGIC-53,Human,unknown,9,DB00025
BE0002110,Prolow-density lipoprotein receptor-related protein 1,Human,unknown,10,DB00025
BE0002120,Multiple coagulation factor deficiency protein 2,Human,unknown,11,DB00025
BE0000565,Interleukin-1 receptor type 1,Human,yes,1,DB00026
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,yes,1,DB00028
BE0004684,High affinity immunoglobulin gamma Fc receptor IB,Human,yes,2,DB00028
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,yes,3,DB00028
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,yes,4,DB00028
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,yes,5,DB00028
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,yes,6,DB00028
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,yes,7,DB00028
BE0003455,Complement C3,Human,yes,8,DB00028
BE0004685,Complement C4-A,Human,yes,11,DB00028
BE0004686,Complement C4-B,Human,yes,12,DB00028
BE0000855,Complement C5,Human,yes,12,DB00028
BE0000211,Plasminogen,Human,yes,1,DB00029
BE0000538,Fibrinogen alpha chain,Human,yes,2,DB00029
BE0000717,Urokinase plasminogen activator surface receptor,Human,unknown,3,DB00029
BE0000240,Plasminogen activator inhibitor 1,Human,unknown,4,DB00029
BE0000033,Insulin receptor,Human,yes,1,DB00030
BE0000858,Insulin-like growth factor 1 receptor,Human,unknown,2,DB00030
BE0002123,Retinoblastoma-associated protein,Human,unknown,4,DB00030
BE0000941,Cathepsin D,Human,unknown,4,DB00030
BE0001183,Insulin-degrading enzyme,Human,unknown,5,DB00030
BE0002124,Neuroendocrine convertase 2,Human,unknown,6,DB00030
BE0001123,Carboxypeptidase E,Human,unknown,7,DB00030
BE0002125,Neuroendocrine convertase 1,Human,unknown,8,DB00030
BE0001147,Protein NOV homolog,Human,unknown,9,DB00030
BE0000942,Low-density lipoprotein receptor-related protein 2,Human,unknown,10,DB00030
BE0002126,Insulin-like growth factor-binding protein 7,Human,unknown,11,DB00030
BE0002127,Synaptotagmin-like protein 4,Human,unknown,12,DB00030
BE0000211,Plasminogen,Human,yes,1,DB00031
BE0000538,Fibrinogen alpha chain,Human,yes,2,DB00031
BE0000717,Urokinase plasminogen activator surface receptor,Human,unknown,3,DB00031
BE0000240,Plasminogen activator inhibitor 1,Human,unknown,4,DB00031
BE0000969,Plasminogen activator inhibitor 2,Human,unknown,5,DB00031
BE0002104,Tetranectin,Human,unknown,6,DB00031
BE0002105,"Keratin, type II cytoskeletal 8",Human,unknown,7,DB00031
BE0001170,Annexin A2,Human,unknown,8,DB00031
BE0002109,Calreticulin,Human,unknown,9,DB00031
BE0001011,Calnexin,Human,unknown,10,DB00031
BE0002110,Prolow-density lipoprotein receptor-related protein 1,Human,unknown,11,DB00031
BE0000387,Follicle-stimulating hormone receptor,Human,yes,NA,DB00032
BE0000134,Lutropin-choriogonadotropic hormone receptor,Human,yes,NA,DB00032
BE0000711,Interferon gamma receptor 1,Human,yes,NA,DB00033
BE0000467,Interferon gamma receptor 2,Human,yes,NA,DB00033
BE0000661,Interferon alpha/beta receptor 1,Human,yes,NA,DB00034
BE0000385,Interferon alpha/beta receptor 2,Human,yes,NA,DB00034
BE0000293,Vasopressin V2 receptor,Human,yes,1,DB00035
BE0000165,Vasopressin V1a receptor,Human,yes,2,DB00035
BE0000773,Vasopressin V1b receptor,Human,yes,3,DB00035
BE0000216,Coagulation factor X,Human,unknown,NA,DB00036
BE0002128,Serine protease hepsin,Human,unknown,NA,DB00036
BE0000967,Tissue factor pathway inhibitor,Human,unknown,NA,DB00036
BE0000403,Vitamin K-dependent gamma-carboxylase,Human,unknown,NA,DB00036
BE0000333,Coagulation factor VII,Human,unknown,NA,DB00036
BE0001178,Tissue factor,Human,unknown,NA,DB00036
BE0000416,Interleukin-11 receptor subunit alpha,Human,yes,NA,DB00038
BE0000748,Fibroblast growth factor receptor 2,Human,yes,NA,DB00039
BE0002129,Neuropilin-1,Human,unknown,NA,DB00039
BE0002131,Fibroblast growth factor receptor 1,Human,unknown,NA,DB00039
BE0001203,Fibroblast growth factor receptor 4,Human,unknown,NA,DB00039
BE0002133,Fibroblast growth factor receptor 3,Human,unknown,NA,DB00039
BE0001031,Basement membrane-specific heparan sulfate proteoglycan core protein,Human,unknown,NA,DB00039
BE0000527,Glucagon receptor,Human,yes,NA,DB00040
BE0002134,Glucagon-like peptide 2 receptor,Human,unknown,NA,DB00040
BE0000857,Glucagon-like peptide 1 receptor,Human,unknown,NA,DB00040
BE0000651,Interleukin-2 receptor subunit beta,Human,yes,NA,DB00041
BE0000658,Interleukin-2 receptor subunit alpha,Human,yes,NA,DB00041
BE0002102,Cytokine receptor common subunit gamma,Human,yes,NA,DB00041
BE0002137,Vesicle-associated membrane protein 2,Human,yes,1,DB00042
BE0002136,Vesicle-associated membrane protein 1,Human,yes,2,DB00042
BE0002138,Synaptotagmin-2,Human,yes,3,DB00042
BE0000015,High affinity immunoglobulin epsilon receptor subunit alpha,Human,yes,NA,DB00043
BE0002139,High affinity immunoglobulin epsilon receptor subunit beta,Human,yes,NA,DB00043
BE0000134,Lutropin-choriogonadotropic hormone receptor,Human,yes,NA,DB00044
BE0001164,Toll-like receptor 2,Human,yes,1,DB00045
BE0000033,Insulin receptor,Human,yes,1,DB00046
BE0000858,Insulin-like growth factor 1 receptor,Human,unknown,2,DB00046
BE0000033,Insulin receptor,Human,yes,NA,DB00047
BE0000858,Insulin-like growth factor 1 receptor,Human,unknown,1,DB00047
BE0000025,Collagen alpha-1(I) chain,Human,unknown,NA,DB00048
BE0002140,Collagen alpha-1(II) chain,Human,unknown,NA,DB00048
BE0002130,Collagen alpha-1(III) chain,Human,unknown,NA,DB00048
BE0002141,Collagen alpha-2(I) chain,Human,unknown,NA,DB00048
BE0004823,Uric acid,Human,yes,NA,DB00049
BE0000203,Gonadotropin-releasing hormone receptor,Human,yes,NA,DB00050
BE0000134,Lutropin-choriogonadotropic hormone receptor,Human,unknown,NA,DB00050
BE0000704,Tumor necrosis factor,Human,yes,NA,DB00051
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,NA,DB00051
BE0002093,Complement C1r subcomponent,Human,unknown,NA,DB00051
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,NA,DB00051
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,NA,DB00051
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,NA,DB00051
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,unknown,NA,DB00051
BE0001529,Complement C1s subcomponent,Human,unknown,NA,DB00051
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,unknown,NA,DB00051
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,unknown,NA,DB00051
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,unknown,NA,DB00051
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,unknown,NA,DB00051
BE0000075,Growth hormone receptor,Human,yes,NA,DB00052
BE0000345,Prolactin receptor,Human,yes,NA,DB00052
BE0004806,Glucocerebroside,Human,yes,1,DB00053
BE0001155,Integrin beta-3,Human,yes,1,DB00054
BE0000439,Integrin alpha-IIb,Human,yes,2,DB00054
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,3,DB00054
BE0002093,Complement C1r subcomponent,Human,unknown,4,DB00054
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,5,DB00054
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,6,DB00054
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,7,DB00054
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,unknown,8,DB00054
BE0001529,Complement C1s subcomponent,Human,unknown,9,DB00054
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,unknown,10,DB00054
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,unknown,11,DB00054
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,unknown,12,DB00054
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,unknown,13,DB00054
BE0001068,Vitronectin,Human,unknown,14,DB00054
BE0000016,Coagulation factor VIII,Human,yes,NA,DB00055
BE0000041,Coagulation factor V,Human,yes,NA,DB00055
BE0000240,Plasminogen activator inhibitor 1,Human,unknown,NA,DB00055
BE0001151,Thrombomodulin,Human,unknown,NA,DB00055
BE0000943,Vitamin K-dependent protein S,Human,unknown,NA,DB00055
BE0001140,Ceruloplasmin,Human,unknown,NA,DB00055
BE0000048,Prothrombin,Human,unknown,NA,DB00055
BE0001129,Platelet factor 4,Human,unknown,NA,DB00055
BE0002112,Plasma serine protease inhibitor,Human,unknown,NA,DB00055
BE0002142,Serpin B6,Human,unknown,NA,DB00055
BE0000403,Vitamin K-dependent gamma-carboxylase,Human,unknown,NA,DB00055
BE0001161,Endothelial protein C receptor,Human,unknown,NA,DB00055
BE0000674,Myeloid cell surface antigen CD33,Human,yes,NA,DB00056
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,NA,DB00056
BE0002093,Complement C1r subcomponent,Human,unknown,NA,DB00056
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,NA,DB00056
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,NA,DB00056
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,NA,DB00056
