pubmed-id,citation,parent_key
10036158,"Maingonnat C, Victor R, Bertrand P, Courel MN, Maunoury R, Delpech B: Activation and inhibition of human cancer cell hyaluronidase by proteins. Anal Biochem. 1999 Mar 1;268(1):30-4.",BE0000530
10466114,"Parameswaran S, Brown LV, Ibbott GS, Lai-Fook SJ: Effect of concentration and hyaluronidase on albumin diffusion across rabbit mesentery. Microcirculation. 1999 Jun;6(2):117-26.",BE0000530
10854433,"Balendiran GK, Schnutgen F, Scapin G, Borchers T, Xhong N, Lim K, Godbout R, Spener F, Sacchettini JC: Crystal structure and thermodynamic analysis of human brain fatty acid-binding protein. J Biol Chem. 2000 Sep 1;275(35):27045-54.",BE0001821
16678417,"Zsila F, Nadolski G, Lockwood SF: Association studies of aggregated aqueous lutein diphosphate with human serum albumin and alpha1-acid glycoprotein in vitro: evidence from circular dichroism and electronic absorption spectroscopy. Bioorg Med Chem Lett. 2006 Jul 15;16(14):3797-801. Epub 2006 May 5.",BE0000530
11273666,"Yemelyanov AY, Katz NB, Bernstein PS: Ligand-binding characterization of xanthophyll carotenoids to solubilized membrane proteins derived from human retina. Exp Eye Res. 2001 Apr;72(4):381-92.",BE0000530
17139284,"Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6.",BE0001821
17016423,"Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34.",BE0001821
17029005,"Christensen U, Holm J, Hansen SI: Stopped-flow kinetic studies of the interaction of bovine folate binding protein (FBP) and folate. Biosci Rep. 2006 Aug;26(4):291-9.",BE0000530
10854433,"Balendiran GK, Schnutgen F, Scapin G, Borchers T, Xhong N, Lim K, Godbout R, Spener F, Sacchettini JC: Crystal structure and thermodynamic analysis of human brain fatty acid-binding protein. J Biol Chem. 2000 Sep 1;275(35):27045-54.",BE0001821
17547694,"Liu YE, Pu W, Wang J, Kang JX, Shi YE: Activation of Stat5 and induction of a pregnancy-like mammary gland differentiation by eicosapentaenoic and docosapentaenoic omega-3 fatty acids. FEBS J. 2007 Jul;274(13):3351-62. Epub 2007 Jun 5.",BE0001821
25451573,"Pavicevic ID, Jovanovic VB, Takic MM, Penezic AZ, Acimovic JM, Mandic LM: Fatty acids binding to human serum albumin: Changes of reactivity and glycation level of Cysteine-34 free thiol group with methylglyoxal. Chem Biol Interact. 2014 Dec 5;224:42-50. doi: 10.1016/j.cbi.2014.10.008. Epub 2014 Oct 17.",BE0000530
16115871,"O'Byrne SM, Wongsiriroj N, Libien J, Vogel S, Goldberg IJ, Baehr W, Palczewski K, Blaner WS: Retinoid absorption and storage is impaired in mice lacking lecithin:retinol acyltransferase (LRAT). J Biol Chem. 2005 Oct 21;280(42):35647-57. Epub 2005 Aug 22.",BE0000682
