title,url,parent_key
Cobalamin coenzyme forms are not likely to be superior to cyano- and hydroxyl-cobalamin in prevention or treatment of cobalamin deficiency,https://onlinelibrary.wiley.com/doi/pdf/10.1002/mnfr.201500019,BE0000362
Empowerpharmacy,https://www.empowerpharmacy.com/drugs/testosterone-propionate-injection.html,BE0000685
Empowerpharmacy,https://www.empowerpharmacy.com/drugs/testosterone-propionate-injection.html,BE0000530
Pharmaceuticals and Medical Devices Agency (PMDA): Topiroxostat review,https://www.pmda.go.jp/files/000153624.pdf,BE0000530
Pharmaceuticals and Medical Devices Agency (PMDA): Topiroxostat review,https://www.pmda.go.jp/files/000153624.pdf,BE0000925
Link,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d2a87691-c9ad-4753-97a1-311fccfe6515,BE0000925
Link,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d2a87691-c9ad-4753-97a1-311fccfe6515,BE0000530
JCcardiol,http://www.hellenicjcardiol.org/archive/full_text/2009/3/2009_3_199.pdf,BE0000530
Tc-99m compounds,http://eknygos.lsmuni.lt/springer/439/173-337.pdf,BE0000530
Researchgate,https://www.researchgate.net/publication/229817671_Aranidipine_MPC-1304_a_New_Dihydropyridine_Calcium_Antagonist_A_Review_of_Its_Antihypertensive_Action,BE0000530
Researchgate,https://www.researchgate.net/publication/229817671_Aranidipine_MPC-1304_a_New_Dihydropyridine_Calcium_Antagonist_A_Review_of_Its_Antihypertensive_Action,BE0000925
Lacidipine Summary of Product Characteristics,http://mri.cts-mrp.eu/download/NL_H_2992_002_FinalSPC.pdf,BE0000530
Lacidipine Summary of Product Characteristics,http://mri.cts-mrp.eu/download/NL_H_2992_002_FinalSPC.pdf,BE0000925
Coenzyme Q,http://fodsupport.org/pdf/Description_of_CoQ_10.pdf,BE0000499
Coenzyme Q,http://fodsupport.org/pdf/Description_of_CoQ_10.pdf,BE0004020
Drug Information,http://www.nuclearonline.org/PI/Cardiogen.pdf,BE0000229
Drug Information,http://www.nuclearonline.org/PI/Cardiogen.pdf,BE0000732
Drug Information,http://www.nuclearonline.org/PI/Cardiogen.pdf,BE0004994
Drug Information,http://www.nuclearonline.org/PI/Cardiogen.pdf,BE0005018
Drug Information,http://www.nuclearonline.org/PI/Cardiogen.pdf,BE0005026
Drug Information,http://www.nuclearonline.org/PI/Cardiogen.pdf,BE0005031
Drug Information,http://www.nuclearonline.org/PI/Cardiogen.pdf,BE0005034
Drug Information,http://www.nuclearonline.org/PI/Cardiogen.pdf,BE0005047
FDA reports,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/205060Orig1s000PharmR.pdf,BE0000935
FDA reports,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/205060Orig1s000PharmR.pdf,BE0001179
COPPER(II) OXIDE - National Library of Medicine HSDB Database - Toxnet,https://toxnet.nlm.nih.gov/cgi-bin/sis/search/a?dbs+hsdb:@term+@DOCNO+266,BE0000530
COPPER(II) OXIDE - National Library of Medicine HSDB Database - Toxnet,https://toxnet.nlm.nih.gov/cgi-bin/sis/search/a?dbs+hsdb:@term+@DOCNO+266,BE0001140
Sunvepra,http://www.medicines.org.au/files/bqpsunve.pdf,BE0001032
Sunvepra,http://www.medicines.org.au/files/bqpsunve.pdf,BE0001004
Sunvepra,http://www.medicines.org.au/files/bqpsunve.pdf,BE0001042
"Deltyba, INN-Delamanid - European Medicines Agency - Europa EU",http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002552/WC500166232.pdf,BE0000530
"Deltyba, INN-Delamanid - European Medicines Agency - Europa EU",http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/002552/WC500166232.pdf,BE0000925
