isbn,citation,parent_key
,Combs G. (2012). The vitamins (4th ed.). Elsevier.,BE0004020
,Combs G. (2012). The vitamins (4th ed.). Elsevier.,BE0000301
,Combs G. (2012). The vitamins (4th ed.). Elsevier.,BE0000505
,Combs G. (2012). The vitamins (4th ed.). Elsevier.,BE0000255
,Combs G. (2012). The vitamins (4th ed.). Elsevier.,BE0000314
,Combs G. (2012). The vitamins (4th ed.). Elsevier.,BE0000682
,"Lobo R., Crosignani P., Paoletti R. and Bruschi F. (2002). Women's health and menopause  (1st ed.). Kluwer Academic Publishers.",BE0000530
,Carp H. (2015). Progestogens in obstetrics and gynecology.. Springer.,BE0000685
,Carp H. (2015). Progestogens in obstetrics and gynecology.. Springer.,BE0000209
,Jadvar H. (2014). Cancer theranostics. Academic press.,BE0001032
,"Kato R., Estabrook W. and Cayen M. (1988). Xenobiotic metabolism and disposition (2nd ed.). Taylor and Francis.",BE0000530
,"Kato R., Estabrook W. and Cayen M. (1988). Xenobiotic metabolism and disposition (2nd ed.). Taylor and Francis.",BE0000925
978-0-07-17803-2,"Barrett KE, Barman SM, Boitano S, Brooks HL (2012). Ganong's Review of Medical Physiology (24th ed.). McGraw Hill.",BE0000530
978-0-07-17803-2,"Barrett KE, Barman SM, Boitano S, Brooks HL (2012). Ganong's Review of Medical Physiology (24th ed.). McGraw Hill.",BE0000530
,Reilly R. (2013). The fundamental principles of compartmental pharmacokinetics illustrated by radiopharmaceuticals commonly used in nuclear medicine. ACPE.,BE0000952
