id,name,organism,known_action,inhibition_strength,induction_strength,position,parent_key
BE0000262,Prostaglandin G/H synthase 2,Human,unknown,unknown,unknown,15,DB00005
BE0001075,Myeloperoxidase,Human,unknown,unknown,unknown,1,DB00006
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,1,DB00008
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,1,DB00022
BE0002363,Cytochrome P450 2D6,Human,unknown,weak,unknown,2,DB00022
BE0000048,Prothrombin,Human,unknown,unknown,unknown,12,DB00025
BE0000380,Vitamin K-dependent protein C,Human,unknown,unknown,unknown,13,DB00025
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,NA,DB00030
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,1,DB00033
BE0000017,Prostaglandin G/H synthase 1,Human,unknown,unknown,unknown,4,DB00035
BE0000262,Prostaglandin G/H synthase 2,Human,unknown,unknown,unknown,5,DB00035
BE0000262,Prostaglandin G/H synthase 2,Human,unknown,unknown,unknown,1,DB00041
BE0000657,Cytosolic phospholipase A2,Human,unknown,unknown,unknown,2,DB00041
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,3,DB00041
BE0002204,Xanthine dehydrogenase/oxidase,Human,unknown,unknown,unknown,4,DB00041
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,5,DB00041
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,NA,DB00046
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,NA,DB00047
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,NA,DB00071
BE0002090,Cytochrome P450 19A1,Human,unknown,unknown,unknown,14,DB00072
BE0000549,"Sterol 26-hydroxylase, mitochondrial",Human,unknown,unknown,unknown,2,DB00082
BE0002240,Glutamine synthetase,Human,unknown,unknown,unknown,3,DB00082
BE0003611,Cytochrome P450 2C18,Human,unknown,unknown,unknown,4,DB00082
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,5,DB00082
