isbn,citation,parent_key
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L55). Canadian Pharmacists Association.,BE0002638
1-894402-22-7,`Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L55). Canadian Pharmacists Association.,BE0002793
978-1-4614-7495-1,"Marcucci C., Hutchens M., Wittwer E., Weingarten T., Sprung J., Nicholson W., Lalwani K., Metro D., Dull R., Swide C., Seagull F., Kirsch J. and Sandson N. (2015). A case approach to perioperative drug-drug interactions. Springer.",BE0004866
085369754X,"16, 29. (2008). In Stockley's Drug Interactions (8th ed., pp. 598, 1071-1072). RPS Publishing.",BE0002638
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L58). Canadian Pharmacists Association.,BE0002793
978-3-642-04509-7,Dancygier H. (2010). Clinical Hepatology. Springer-Verlag.,BE0003541
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L54). Canadian Pharmacists Association.,BE0002638
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L54). Canadian Pharmacists Association.,BE0002363
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L54). Canadian Pharmacists Association.,BE0002793
978-3-642-04509-7,Dancygier H. (2010). Clinical Hepatology. Springer-Verlag.,BE0003541
978-3-642-04509-7,Dancygier H. (2010). Clinical Hepatology. Springer-Verlag.,BE0003541
0683307371,"Foye, William O.;Williams, David A.;Lemke, Thomas L. (2002). Foye's Principles of Medicinal Chemistry (5th ed.). Lippincott Williams & Wilkins.",BE0003536
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L57). Canadian Pharmacists Association.,BE0003533
1-894402-22-7,Clin-info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L56). Canadian Pharmacists Association.,BE0002793
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L56). Canadian Pharmacists Association.,BE0002433
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L56). Canadian Pharmacists Association.,BE0003536
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L56). Canadian Pharmacists Association.,BE0003336
0683307371,"Foye, William O.;Williams, David A.;Lemke, Thomas L. (2002). Foye's Principles of Medicinal Chemistry (5th ed.). Lippincott Williams & Wilkins.",BE0002638
978-3-642-04509-7,Dancygier H. (2010). Clinical Hepatology. Springer-Verlag.,BE0003541
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L57). Canadian Pharmacists Association.,BE0002793
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L57). Canadian Pharmacists Association.,BE0002638
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L57). Canadian Pharmacists Association.,BE0003536
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L53). Canadian Pharmacists Association.,BE0002638
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L53). Canadian Pharmacists Association.,BE0002887
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L53). Canadian Pharmacists Association.,BE0002363
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L53). Canadian Pharmacists Association.,BE0002793
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L58). Canadian Pharmacists Association.,BE0002793
1-894402-22-7,Clin-Info. (2006). In Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals (pp. L58). Canadian Pharmacists Association.,BE0002887
1-894402-22-7,Canadian Pharmacists Association (2006). Compendium of Pharmaceuticals and Specialties: The Canadian Drug Reference for Health Professionals. Canadian Pharmacists Association.,BE0003536
,Pattani K. (2010). Early diagnosis and treatment of cancer series: Head and Neck Cancer. Elsevier.,BE0009340
,Vasiliou V. and Petersen D. (2010). Comprehensive toxicology (2nd ed.). Elsevier.,BE0001207
,Larrey D. and Ripault M. (2013). Drug-induced liver disease (3rd ed.). Academic Press.,BE0002638
,Benedich A. and Deckelbaum R. (2015). Preventive nutrition (5th ed.). Springer .,BE0001056
,Benedich A. and Deckelbaum R. (2015). Preventive nutrition (5th ed.). Springer .,BE0001818
978 92 4 153077 4,Peter Watts and Paul Howe (2010). Strontium and Strontium compounds. World Health Organization.,BE0008669
978-0323-07371-4,Daskalos D. (2012). Local anesthesia for the dental hygienist. Elsevier.,BE0002180
,Wollschlaeger B. (2003). The ABC Clinical Guide to Herbs. American botanical council.,BE0009375
,Wollschlaeger B. (2003). The ABC Clinical Guide to Herbs. American botanical council.,BE0000888
,Wollschlaeger B. (2003). The ABC Clinical Guide to Herbs. American botanical council.,BE0002246
,Parakh R. and Patil N. (2017). International Journal of Research in Medical Sciences. MSJ Online.,BE0002638
,Barceloux D.G. (2012). Medical toxicology of drug abuse: Synthesized chemicals and psychoactive plants.. Wiley.,BE0002363
,Barceloux D.G. (2012). Medical toxicology of drug abuse: Synthesized chemicals and psychoactive plants.. Wiley.,BE0002638
,Seyffart G. (1992). Drug dosage in renal insufficiency (2nd ed.). Springer Science+Business Media Dordrecht.,BE0003679
