smpdb_id,name,category,parent_key
SMP00278,Lepirudin Action Pathway,drug_action,DB00001
SMP00474,Cetuximab Action Pathway,drug_action,DB00002
SMP00277,Bivalirudin Action Pathway,drug_action,DB00006
SMP00280,Alteplase Action Pathway,drug_action,DB00009
SMP00284,Urokinase Action Pathway,drug_action,DB00013
SMP00285,Reteplase Action Pathway,drug_action,DB00015
SMP00281,Anistreplase Action Pathway,drug_action,DB00029
SMP00283,Tenecteplase Action Pathway,drug_action,DB00031
SMP00265,Abciximab Action Pathway,drug_action,DB00054
SMP00266,Eptifibatide Action Pathway,drug_action,DB00063
SMP00476,Trastuzumab Action Pathway,drug_action,DB00072
SMP00282,Streptokinase Action Pathway,drug_action,DB00086
SMP00420,Bevacizumab Action Pathway,drug_action,DB00112
SMP00007,Beta-Alanine Metabolism,metabolic,DB00114
SMP00012,Catecholamine Biosynthesis,metabolic,DB00114
SMP00013,Cysteine Metabolism,metabolic,DB00114
SMP00129,Malate-Aspartate Shuttle,metabolic,DB00114
SMP00177,Cystathionine Beta-Synthase Deficiency,disease,DB00114
SMP00188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,DB00114
SMP00237,3-Methylcrotonyl Coa Carboxylase Deficiency Type I,disease,DB00114
SMP00239,Saccharopinuria/Hyperlysinemia II,disease,DB00114
SMP00345,Congenital Erythropoietic Porphyria (CEP) or Gunther Disease,disease,DB00114
SMP00346,Porphyria Variegata (PV),disease,DB00114
SMP00349,Gaucher Disease,disease,DB00114
SMP00350,Pyruvate Carboxylase Deficiency,disease,DB00114
SMP00360,Hyperprolinemia Type II,disease,DB00114
SMP00362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,DB00114
SMP00369,Tyrosinemia Type 2 (or Richner-Hanhart syndrome),disease,DB00114
SMP00370,Tyrosinemia Type 3 (TYRO3),disease,DB00114
SMP00503,Hypophosphatasia,disease,DB00114
SMP00504,"Creatine deficiency, guanidinoacetate methyltransferase deficiency",disease,DB00114
SMP00505,Hyperornithinemia with gyrate atrophy (HOGA),disease,DB00114
SMP00506,Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome],disease,DB00114
SMP00507,L-arginine:glycine amidinotransferase deficiency,disease,DB00114
SMP00557,Sucrase-isomaltase deficiency,disease,DB00114
SMP00567,Succinic semialdehyde dehydrogenase deficiency,disease,DB00114
SMP00721,3-Phosphoglycerate dehydrogenase deficiency,disease,DB00114
SMP00722,"Cystinosis, ocular nonnephropathic",disease,DB00114
SMP00837,threonine biosynthesis,metabolic,DB00114
SMP02363,Porphyrin Metabolism ,metabolic,DB00114
SMP02378,Sphingolipid Metabolism ,metabolic,DB00114
SMP12047,Glycine Betaine Biosynthesis I,metabolic,DB00114
SMP12467,Butanoate Metabolism,metabolic,DB00114
SMP01898,adenosylcobalamin salvage from cobinamide,metabolic,DB00115
SMP00123,Betaine Metabolism,metabolic,DB00116
SMP00177,Cystathionine Beta-Synthase Deficiency,disease,DB00116
SMP00365,Gout or Kelley-Seegmiller Syndrome,disease,DB00116
SMP00427,Azathioprine Action Pathway,drug_action,DB00116
SMP00513,Xanthinuria type II,disease,DB00116
SMP00721,3-Phosphoglycerate dehydrogenase deficiency,disease,DB00116
SMP00925,Folate Biosynthesis,metabolic,DB00116
SMP02369,One Carbon Pool by Folate I ,metabolic,DB00116
SMP63637,Methionine Metabolism,metabolic,DB00116
SMP00033,Methionine Metabolism,metabolic,DB00116
SMP00050,Purine Metabolism,metabolic,DB00116
SMP00144,Adenosine Deaminase Deficiency,disease,DB00116
SMP00220,Xanthine Dehydrogenase Deficiency (Xanthinuria),disease,DB00116
SMP00221,Methionine Adenosyltransferase Deficiency,disease,DB00116
SMP00341,Hypermethioninemia,disease,DB00116
SMP00432,Methotrexate Action Pathway,drug_action,DB00116
SMP00828,GLYCINE BIOSYNTHESIS,metabolic,DB00116
SMP02092,S-adenosyl-L-methionine cycle,metabolic,DB00116
SMP02364,Pantothenate and CoA Biosynthesis ,metabolic,DB00116
SMP00044,Histidine Metabolism,metabolic,DB00116
SMP00053,Folate Metabolism,metabolic,DB00116
SMP00168,AICA-Ribosiduria,disease,DB00116
SMP00428,Mercaptopurine Action Pathway,drug_action,DB00116
SMP00430,Thioguanine Action Pathway,drug_action,DB00116
SMP00485,"Hyperglycinemia, non-ketotic",disease,DB00116
SMP00512,Xanthinuria type I,disease,DB00116
SMP00570,"Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type",disease,DB00116
SMP00724,"Folate malabsorption, hereditary",disease,DB00116
SMP00801,Folate Metabolism,metabolic,DB00116
SMP02428,Glycine Metabolism,metabolic,DB00116
SMP00711,Tobramycin Action Pathway,drug_action,DB00117
SMP00713,Arbekacin Action Pathway,drug_action,DB00117
SMP00727,Methacycline Action Pathway,drug_action,DB00117
SMP00824,tRNA Charging 2,metabolic,DB00117
SMP63638,Methylhistidine Metabolism,metabolic,DB00117
SMP00007,Beta-Alanine Metabolism,metabolic,DB00117
SMP00249,Clindamycin Action Pathway,drug_action,DB00117
