text,parent_key
P00734,SMP00278
P00748,SMP00278
P02452,SMP00278
P03952,SMP00278
P03951,SMP00278
P00740,SMP00278
P00451,SMP00278
P12259,SMP00278
P00742,SMP00278
P02671,SMP00278
P02675,SMP00278
P02679,SMP00278
P00488,SMP00278
P05160,SMP00278
P00747,SMP00278
P00750,SMP00278
P08709,SMP00278
P13726,SMP00278
Q9BQB6,SMP00278
P38435,SMP00278
P00533,SMP00474
P00734,SMP00277
P00748,SMP00277
P02452,SMP00277
P03952,SMP00277
P03951,SMP00277
P00740,SMP00277
P00451,SMP00277
P12259,SMP00277
P00742,SMP00277
P02671,SMP00277
P02675,SMP00277
P02679,SMP00277
P00488,SMP00277
P05160,SMP00277
P00747,SMP00277
P00750,SMP00277
P08709,SMP00277
P13726,SMP00277
Q9BQB6,SMP00277
P38435,SMP00277
P00747,SMP00280
P00748,SMP00280
P02452,SMP00280
P03952,SMP00280
P03951,SMP00280
P00740,SMP00280
P00451,SMP00280
P00734,SMP00280
P12259,SMP00280
P00742,SMP00280
P02671,SMP00280
P02675,SMP00280
P02679,SMP00280
P00488,SMP00280
P05160,SMP00280
P00750,SMP00280
P08709,SMP00280
P13726,SMP00280
Q9BQB6,SMP00280
P38435,SMP00280
P00747,SMP00284
P00748,SMP00284
P02452,SMP00284
P03952,SMP00284
P03951,SMP00284
P00740,SMP00284
P00451,SMP00284
P00734,SMP00284
P12259,SMP00284
P00742,SMP00284
P02671,SMP00284
P02675,SMP00284
P02679,SMP00284
P00488,SMP00284
P05160,SMP00284
P00750,SMP00284
P08709,SMP00284
P13726,SMP00284
Q9BQB6,SMP00284
P38435,SMP00284
P00747,SMP00285
P00748,SMP00285
P02452,SMP00285
P03952,SMP00285
P03951,SMP00285
P00740,SMP00285
P00451,SMP00285
P00734,SMP00285
P12259,SMP00285
P00742,SMP00285
P02671,SMP00285
P02675,SMP00285
P02679,SMP00285
P00488,SMP00285
P05160,SMP00285
P00750,SMP00285
P08709,SMP00285
P13726,SMP00285
Q9BQB6,SMP00285
P38435,SMP00285
P00747,SMP00281
P00748,SMP00281
P02452,SMP00281
P03952,SMP00281
P03951,SMP00281
P00740,SMP00281
P00451,SMP00281
P00734,SMP00281
P12259,SMP00281
P00742,SMP00281
P02671,SMP00281
P02675,SMP00281
P02679,SMP00281
P00488,SMP00281
P05160,SMP00281
P00750,SMP00281
P08709,SMP00281
P13726,SMP00281
Q9BQB6,SMP00281
P38435,SMP00281
P00747,SMP00283
P00748,SMP00283
P02452,SMP00283
P03952,SMP00283
P03951,SMP00283
P00740,SMP00283
P00451,SMP00283
P00734,SMP00283
P12259,SMP00283
P00742,SMP00283
P02671,SMP00283
P02675,SMP00283
P02679,SMP00283
P00488,SMP00283
P05160,SMP00283
P00750,SMP00283
P08709,SMP00283
P13726,SMP00283
Q9BQB6,SMP00283
P38435,SMP00283
P08514,SMP00265
P05106,SMP00265
P08514,SMP00266
P05106,SMP00266
P00533,SMP00476
P00747,SMP00282
P00748,SMP00282
P02452,SMP00282
