text,parent_key
1a3g,DB00114
1a50,DB00114
1a5a,DB00114
1a5b,DB00114
1a5s,DB00114
1aam,DB00114
1aaw,DB00114
1ahe,DB00114
1ahf,DB00114
1ahg,DB00114
1ahp,DB00114
1ahx,DB00114
1ahy,DB00114
1aka,DB00114
1ari,DB00114
1ars,DB00114
1art,DB00114
1asa,DB00114
1asb,DB00114
1asf,DB00114
1asg,DB00114
1asm,DB00114
1asn,DB00114
1axr,DB00114
1ay4,DB00114
1ay5,DB00114
1ay8,DB00114
1b4d,DB00114
1b4x,DB00114
1b54,DB00114
1b5o,DB00114
1b5p,DB00114
1b8g,DB00114
1b9h,DB00114
1bj4,DB00114
1bjo,DB00114
1bks,DB00114
1bt4,DB00114
1bx3,DB00114
1c0n,DB00114
1c29,DB00114
1c4k,DB00114
1c50,DB00114
1c7g,DB00114
1c7n,DB00114
1c8k,DB00114
1c8l,DB00114
1c8v,DB00114
1c9d,DB00114
1cj0,DB00114
1ct5,DB00114
1cw2,DB00114
1cx9,DB00114
1czc,DB00114
1cze,DB00114
1d2f,DB00114
1d6s,DB00114
1daa,DB00114
1dgd,DB00114
1dge,DB00114
1dje,DB00114
1dju,DB00114
1dka,DB00114
1dty,DB00114
1e1y,DB00114
1e4o,DB00114
1e5f,DB00114
1ecx,DB00114
1eg5,DB00114
1ekf,DB00114
1ekp,DB00114
1ekv,DB00114
1elq,DB00114
1em6,DB00114
1eqb,DB00114
1et0,DB00114
1exv,DB00114
1f2d,DB00114
1f3t,DB00114
1fa9,DB00114
1fc0,DB00114
1fc4,DB00114
1fcj,DB00114
1fg3,DB00114
1fs4,DB00114
1ftq,DB00114
1ftw,DB00114
1fty,DB00114
1fu4,DB00114
1fu7,DB00114
1fu8,DB00114
1fuy,DB00114
1g2w,DB00114
1g4v,DB00114
1g4x,DB00114
1g76,DB00114
1g77,DB00114
1g78,DB00114
1g79,DB00114
1g7w,DB00114
1g7x,DB00114
1gbn,DB00114
1gc3,DB00114
1gc4,DB00114
1gck,DB00114
1gd9,DB00114
1gde,DB00114
1gew,DB00114
1gex,DB00114
1gfz,DB00114
1gg8,DB00114
1ggn,DB00114
1gpa,DB00114
1gpb,DB00114
1gpy,DB00114
1h0c,DB00114
1h1c,DB00114
1h5u,DB00114
1hkv,DB00114
1hlf,DB00114
1i1k,DB00114
1i1l,DB00114
1i1m,DB00114
1i29,DB00114
1i2k,DB00114
1i43,DB00114
1i48,DB00114
1iax,DB00114
1iay,DB00114
1ibj,DB00114
1iji,DB00114
1ix6,DB00114
1ix7,DB00114
1ix8,DB00114
1iyd,DB00114
1j0a,DB00114
1j0c,DB00114
1j0e,DB00114
1j32,DB00114
1jbq,DB00114
1jf9,DB00114
1jnw,DB00114
1js3,DB00114
1js6,DB00114
1k06,DB00114
1k08,DB00114
1k3u,DB00114
1k7e,DB00114
1k7f,DB00114
1k7x,DB00114
1k8x,DB00114
1k8y,DB00114
1k8z,DB00114
1kfb,DB00114
1kfc,DB00114
1kfk,DB00114
1kkj,DB00114
1kkp,DB00114
1kl1,DB00114
1kl2,DB00114
1kl7,DB00114
1kmj,DB00114
1kmk,DB00114
1knw,DB00114
1ko0,DB00114
1kti,DB00114
1l5q,DB00114
1l5r,DB00114
1l5s,DB00114
1l5v,DB00114
1l5w,DB00114
1l6i,DB00114
1l7x,DB00114
1lk9,DB00114
1lkc,DB00114
1ls3,DB00114
1lw4,DB00114
1lw5,DB00114
1lwn,DB00114
1lwo,DB00114
1m32,DB00114
1m4n,DB00114
1m54,DB00114
1mdx,DB00114
1mdz,DB00114
1mgv,DB00114
1mly,DB00114
1mlz,DB00114
1n2t,DB00114
1n31,DB00114
1n8p,DB00114
1noi,DB00114
1noj,DB00114
1nok,DB00114
1nrg,DB00114
1o4s,DB00114
1o61,DB00114
1oas,DB00114
1oat,DB00114
1ohv,DB00114
1ohw,DB00114
1ohy,DB00114
1ord,DB00114
1p29,DB00114
1p2b,DB00114
1p2d,DB00114
1p2g,DB00114
1p3w,DB00114
1p4g,DB00114
1p4h,DB00114
1p4j,DB00114
1p5j,DB00114
1pg8,DB00114
1pmm,DB00114
1qgn,DB00114
1qir,DB00114
1qis,DB00114
1qit,DB00114
1qj3,DB00114
1qj5,DB00114
1qm5,DB00114
1qop,DB00114
1qoq,DB00114
1qu4,DB00114
1qz9,DB00114
1rcq,DB00114
1rfu,DB00114
1rqx,DB00114
1rv3,DB00114
1rv4,DB00114
1rvu,DB00114
1rvy,DB00114
1s07,DB00114
1sf2,DB00114
1sft,DB00114
1szs,DB00114
1szu,DB00114
1t3i,DB00114
1tar,DB00114
1tat,DB00114
1tdj,DB00114
1tjp,DB00114
1ttp,DB00114
1ttq,DB00114
1twi,DB00114
1tyz,DB00114
1tz2,DB00114
1tzj,DB00114
1tzk,DB00114
1tzm,DB00114
1u08,DB00114
1ubs,DB00114
1uim,DB00114
1uin,DB00114
1uzu,DB00114
1v2d,DB00114
1v2e,DB00114
1v2f,DB00114
1v71,DB00114
1v72,DB00114
1v8z,DB00114
1ve1,DB00114
1ve5,DB00114
1vef,DB00114
1vfh,DB00114
1vjo,DB00114
1vp4,DB00114
1w23,DB00114
1w3u,DB00114
1w7l,DB00114
1w7m,DB00114
1w8g,DB00114
1wbj,DB00114
1wdw,DB00114
1wkv,DB00114
1wrv,DB00114
1wst,DB00114
1wtc,DB00114
1wut,DB00114
1wuy,DB00114
1wv0,DB00114
1wv1,DB00114
1ww2,DB00114
1ww3,DB00114
1wyu,DB00114
1wyv,DB00114
1xc7,DB00114
1xey,DB00114
1xfc,DB00114
1xi9,DB00114
1xkx,DB00114
1xl0,DB00114
1xl1,DB00114
1xoi,DB00114
1xql,DB00114
1xrs,DB00114
1yaa,DB00114
1ygp,DB00114
1yjs,DB00114
1yjy,DB00114
1yjz,DB00114
1yoo,DB00114
1z3z,DB00114
1z62,DB00114
1z7w,DB00114
1zob,DB00114
1zod,DB00114
2a1h,DB00114
2a5h,DB00114
2abj,DB00114
2amv,DB00114
2aq6,DB00114
2asv,DB00114
2ati,DB00114
2av6,DB00114
2aw3,DB00114
2ay1,DB00114
2ay2,DB00114
2ay3,DB00114
2ay4,DB00114
2ay5,DB00114
2ay6,DB00114
2ay7,DB00114
2ay8,DB00114
2ay9,DB00114
2azd,DB00114
2bhs,DB00114
2bht,DB00114
2bhx,DB00114
2bi1,DB00114
2bi2,DB00114
2bi3,DB00114
2bi5,DB00114
2bi9,DB00114
2bia,DB00114
2bie,DB00114
2big,DB00114
2bkw,DB00114
2bwn,DB00114
2bwo,DB00114
2byj,DB00114
2byl,DB00114
2c0r,DB00114
2c2b,DB00114
2c2g,DB00114
2c4m,DB00114
2c7t,DB00114
2can,DB00114
2cb1,DB00114
2cft,DB00114
2ch1,DB00114
2ch2,DB00114
2cin,DB00114
2cjd,DB00114
2cjh,DB00114
2cle,DB00114
2clf,DB00114
2clh,DB00114
2cli,DB00114
2clk,DB00114
2cog,DB00114
2coi,DB00114
2coj,DB00114
2cst,DB00114
2ctz,DB00114
2d1f,DB00114
2d5y,DB00114
2d61,DB00114
2d63,DB00114
2d64,DB00114
2d65,DB00114
2d66,DB00114
2d7y,DB00114
2d7z,DB00114
2dab,DB00114
2dgk,DB00114
2dgl,DB00114
2dgm,DB00114
2dh5,DB00114
2dkb,DB00114
2dkj,DB00114
2dr1,DB00114
2dy3,DB00114
2e54,DB00114
2e7i,DB00114
2e7j,DB00114
2eco,DB00114
2ecp,DB00114
2ecq,DB00114
2efy,DB00114
2egy,DB00114
2eh6,DB00114
2eiy,DB00114
2ej3,DB00114
2eo5,DB00114
2f3p,DB00114
2f3q,DB00114
2f3s,DB00114
2f3u,DB00114
2fet,DB00114
2ff5,DB00114
2ffr,DB00114
2fni,DB00114
2fyf,DB00114
2gpa,DB00114
2gpb,DB00114
2gsa,DB00114
