sequence,left_drugbank_id,left_drugbank_name,right_drugbank_id,right_drugbank_name,parent_key
1,DB00047,Insulin Glargine,DBMET00786,A21-Gly-des-B30-Thr-insulin,DB00047
1,DB00047,Insulin Glargine,DBMET00787,A21-Gly-insulin,DB00047
1,DB00091,Cyclosporine,DBMET00359,Metabolite AM1,DB00091
1,DB00115,Cyanocobalamin,DB03614,Methylcobalamin,DB00115
1,DB00115,Cyanocobalamin,DB11191,Cobamamide,DB00115
1,DB00118,Ademetionine,DBMET00503,Cysteine,DB00118
1,DB00118,Ademetionine,DBMET00506,Methionine,DB00118
1,DB00118,Ademetionine,DBMET00508,Homocysteine,DB00118
1,DB00118,Ademetionine,DBMET00514,S-Adenosylhomocysteine,DB00118
1,DB00118,Ademetionine,DBMET00486,Cystathionine,DB00118
1,DB00126,Vitamin C,DBMET00799,ascorbic acid-2-sulfate,DB00126
1,DB00126,Vitamin C,DBMET00552,Oxalic acid,DB00126
1,DB00129,Ornithine,DBMET00502,L-Arginine,DB00129
1,DB00129,Ornithine,DBMET00494,Proline,DB00129
1,DB00136,Calcitriol,DBMET00575,Calcitroic acid,DB00136
1,DB00153,Ergocalciferol,DBMET00596,25-Hydroxyvitamin D2-25-glucuronide,DB00153
1,DB00153,Ergocalciferol,DBMET00597,Vitamin D2 3-glucuronide,DB00153
1,DB00153,Ergocalciferol,DBMET00608,25-Hydroxyvitamin D2 25-(beta-glucuronide),DB00153
1,DB00162,Vitamin A,DBMET01736,All-trans-retinal,DB00162
1,DB00169,Cholecalciferol,DBMET00609,"(23S)-23,25-dihdroxy-24-oxovitamine D3 23-(beta-glucuronide)",DB00169
1,DB00176,Fluvoxamine,DBMET01673,Fluvoxamino alcohol,DB00176
1,DB00176,Fluvoxamine,DBMET00250,fluvoxamino acid,DB00176
1,DB00177,Valsartan,DBMET00011,Valeryl-4-hydroxyvalsartan,DB00177
1,DB00178,Ramipril,DBMET00841,Diketopiperazine acid,DB00178
1,DB00178,Ramipril,DBMET00842,Diketopiperazine ester,DB00178
1,DB00178,Ramipril,DBMET00995,Ramiprilat,DB00178
1,DB00182,Amphetamine,DBMET00733,4-hydroxyamphetamine,DB00182
1,DB00184,Nicotine,DBMET00515,N-Methylnicotinium,DB00184
1,DB00184,Nicotine,DBMET00516,Nicotine imine,DB00184
1,DB00184,Nicotine,DBMET00519,Cotinine,DB00184
1,DB00184,Nicotine,DBMET00520,Nornicotine,DB00184
1,DB00184,Nicotine,DBMET00524,Nicotine glucuronide,DB00184
1,DB00184,Nicotine,DBMET00526,Norcotinine,DB00184
