isbn,citation,parent_key
978-0-7020-3471-8,"32. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 399-400). Edinburgh: Elsevier/Churchill Livingstone.",DB00035
978-1-4160-0208-6,"Shorr R., Hoth A. and Rawls N. (2007). Drugs for the Geriatric Patient. Elsevier.",DB00085
9783540298328,"Bader, M. (2004). Renin-angiotensin-aldosterone system. In Encyclopedic reference of molecular pharmacology (pp. 810-814). Berlin: Springer.",DB00177
,14. (2015). In Pharmacology for Women’s Health. Jones & Bartlett Publishers.,DB00286
978-1-25-958473-2,"Brunton LL, Hilal-Dandan R, Knollmann BC. eds (2018). Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",DB00458
978-0-7020-3471-8,"46. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 574-575). Edinburgh: Elsevier/Churchill Livingstone.",DB00540
978-0-7020-3471-8,"44. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 544, 549). Edinburgh: Elsevier/Churchill Livingstone.",DB00555
978-0-12-260816-2,"Florey, Klaus;Al-Badr, Abdullah A.;Brenner, Gerald S. (1987). Analytical Profiles of Drug Substances (16th ed.). Elsevier Science & Technology Books.",DB00584
978-0-7020-3471-8,"49. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 612). Edinburgh: Elsevier/Churchill Livingstone.",DB00607
978-0321556660,"Stanfield, Cindy L.;Germann, William J. (2009). Principles of Human Physiology (3rd ed.). Benjamin-Cummings Publishing Company.",DB00678
9783540298328,"Bader, M. (2004). Renin-angiotensin-aldosterone system. In Encyclopedic reference of molecular pharmacology (pp. 810-814). Berlin: Springer.",DB00678
1420006754,Warfarin. (2007). In Human Developmental Toxicants: Aspects of Toxicology and Chemistry (pp. 193–4). CRC Press.,DB00682
1879284367,"Loftus, Christopher M. (1995). Fetal toxicity of common neurosurgical drugs. In Neurosurgical Aspects of Pregnancy (pp. 11–13). American Association of Neurological Surgeons.",DB00682
978-0-85369-840-1," Sweetman, Sean C. (2009). Contrast Media. In Martindale : The Complete Drug Reference, 36th Edition 2 Volume Set (36th ed., pp. 1478). Pharmaceutical Press.",DB00743
,"Preskon S., Feighner J., Stanga C. and Ross R. (2004). Antidepressants: Past, Present and Future. Springer-Verlag.",DB00780
,Owens D. (2010). Companion to psychiatric studies (8th ed.). Elsevier.,DB00780
978-3-642-60107-1,"W. KuhnzH. BlodeH. Zimmermann (1993). Pharmacokinetics of Exogenous Natural and Synthetic Estrogens and Antiestrogens. In: Estrogens and Antiestrogens II.. Springer, Berlin, Heidelberg.",DB00783
978-0321556660,"Stanfield, Cindy L.;Germann, William J. (2009). Principles of Human Physiology (3rd ed.). Benjamin-Cummings Publishing Company.",DB00796
9783540298328,"Bader, M. (2004). Renin-angiotensin-aldosterone system. In Encyclopedic reference of molecular pharmacology (pp. 810-814). Berlin: Springer.",DB00796
,"Lukasz Komsta, Monika Waksmundzka-Hajnos, Joseph Sherma (2014). Thin Layer Chromatography in Drug Analysis. Taylor & Francis.",DB00808
,Seyffart G. (1992). Drug dosage in renal insufficiency (2nd ed.). Springer Science+Business Media Dordrecht.,DB01049
