pubmed-id,citation,parent_key
17931716,"Bawolak MT, Touzin K, Moreau ME, Desormeaux A, Adam A, Marceau F: Cardiovascular expression of inflammatory signaling molecules, the kinin B1 receptor and COX2, in the rabbit: effects of LPS, anti-inflammatory and anti-hypertensive drugs. Regul Pept. 2008 Feb 7;146(1-3):157-68. Epub 2007 Sep 14.",BE0000262
16303916,"Genovese T, Mazzon E, Crisafulli C, Di Paola R, Muia C, Bramanti P, Cuzzocrea S: Immunomodulatory effects of etanercept in an experimental model of spinal cord injury. J Pharmacol Exp Ther. 2006 Mar;316(3):1006-16. Epub 2005 Nov 22.",BE0000262
18701766,"Rudolph V, Rudolph TK, Schopfer FJ, Bonacci G, Lau D, Szocs K, Klinke A, Meinertz T, Freeman BA, Baldus S: Bivalirudin decreases NO bioavailability by vascular immobilization of myeloperoxidase. J Pharmacol Exp Ther. 2008 Nov;327(2):324-31. doi: 10.1124/jpet.108.142414. Epub  2008 Aug 13.",BE0001075
10688826,"Alberio L, Safa O, Clemetson KJ, Esmon CT, Dale GL: Surface expression and functional characterization of alpha-granule factor V in human platelets: effects of ionophore A23187, thrombin, collagen, and convulxin. Blood. 2000 Mar 1;95(5):1694-702.",BE0000048
1139038,"Ratnoff OD, Lewis JH: Heckathorn's disease: variable functional dificiency of antihemophilic factor (factor VIII). Blood. 1975 Aug;46(2):161-73.",BE0000048
12463731,"Anderson DM, Shelley S, Crick N, Buraglio M: No effect of the novel antidiabetic agent nateglinide on the pharmacokinetics and anticoagulant properties of warfarin in healthy volunteers. J Clin Pharmacol. 2002 Dec;42(12):1358-65.",BE0000048
2402772,"Piet MP, Chin S, Prince AM, Brotman B, Cundell AM, Horowitz B: The use of tri(n-butyl)phosphate detergent mixtures to inactivate hepatitis viruses and human immunodeficiency virus in plasma and plasma's subsequent fractionation. Transfusion. 1990 Sep;30(7):591-8.",BE0000048
3099625,"Lazarchick J, Ashby MA, Lazarchick JJ, Sens DA: Mechanism of factor VIII inactivation by human antibodies. IV. Antibody binding prevents factor VIII proteolysis by thrombin. Ann Clin Lab Sci. 1986 Nov-Dec;16(6):497-501.",BE0000048
17139284,"Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6.",BE0000380
17016423,"Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34.",BE0000380
