title,url,parent_key
Google books,http://books.google.com/books?id=iadLoXoQkWEC&pg=PA440,DB00001
Link,http://www.genome.jp/dbget-bin/www_bget?D00742,DB00005
Link,http://web.b.ebscohost.com.login.ezproxy.library.ualberta.ca/dynamed/detail?vid=4&sid=eeea413d-1490-4efa-bf5d-71f40e1986a1%40sessionmgr111&hid=123&bdata=JnNpdGU9ZHluYW1lZC1saXZlJnNjb3BlPXNpdGU%3d#db=dme&AN=232781,DB00005
Link,http://www.freepatentsonline.com/EP1790656.html,DB00007
RxMed,http://www.rxmed.com/b.main/b2.pharmaceutical/b2.1.monographs/CPS-%20Monographs/CPS-%20(General%20Monographs-%20L)/LUPRON%20DEPOT.html,DB00007
"American Association for the Study of Liver Diseases; Infectious Diseases Society of America. HCV guidance. http://hcvguidelines.org. Accessed June 12, 2017.",http://hcvguidelines.org/full-report-view,DB00008
FDA News Release: FDA approves first epoetin alfa biosimilar for the treatment of anemia,https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm607703.htm,DB00016
"American Association for the Study of Liver Diseases; Infectious Diseases Society of America. HCV guidance. http://hcvguidelines.org. Accessed June 12, 2017.",http://hcvguidelines.org/full-report-view,DB00022
"UniProtKB - V6FYV8 (V6FYV8_ECOLX): E. coli L-asparaginase, type II FASTA sequence ",http://www.uniprot.org/uniprot/V6FYV8,DB00023
DDVAP Nasal Spray FDA Label,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2007/017922s038,018938s027,019955s013lbl.pdf",DB00035
Stimate (desmopressin acetate) nasal spray FDA Label,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/020355s020lbl.pdf,DB00035
UKPAR for Desmopressin acetate 100mcg and 200mcg Tablets,http://www.mhra.gov.uk/home/groups/par/documents/websiteresources/con2033807.pdf,DB00035
Link,http://search.ebscohost.com/login.aspx?direct=true&site=DynaMed&id=233015,DB00044
Link,http://www.freepatentsonline.com/6090382.html,DB00051
Link,http://www.rcsb.org/pdb/download/downloadFile.do?fileFormat=FASTA&compression=NO&structureId=1IGT,DB00051
