text,parent_key
Bayer healthcare pharmaceuticals inc,DB00001
"Genentech, Inc",DB00003
Amgen Inc. + Wyeth + Takeda,DB00005
The medicines co,DB00006
Emd serono inc,DB00010
Amgen Inc.,DB00012
Microbix biosystems inc,DB00013
Astrazeneca uk ltd,DB00014
Sanofi aventis us llc,DB00017
Astrazeneca lp,DB00017
Novartis pharmaceuticals corp,DB00017
Apotex inc,DB00017
Par pharmaceutical inc,DB00017
Upsher smith laboratories inc,DB00017
Ferring pharmaceuticals inc,DB00021
Chirhoclin inc,DB00021
Sanofi aventis us llc,DB00024
Genzyme corp,DB00024
Novo nordisk inc,DB00030
Sanofi aventis us llc,DB00035
Bedford laboratories div ben venue laboratories inc,DB00035
Hospira inc,DB00035
Teva parenteral medicines inc,DB00035
Ferring pharmaceuticals inc,DB00035
Bausch and lomb pharmaceuticals inc,DB00035
Apotex inc richmond hill,DB00035
Csl behring llc,DB00035
Apotex inc etobicoke site,DB00035
Teva pharmaceuticals usa,DB00035
Watson laboratories inc,DB00035
Eli lilly and co,DB00040
Novo nordisk pharmaceuticals inc,DB00040
Emd serono inc,DB00044
Eli lilly and co,DB00046
Sanofi aventis us llc,DB00047
Emd serono inc,DB00050
Genentech inc,DB00052
Serono laboratories inc,DB00052
Cangene corp,DB00052
Ferring pharmaceuticals inc,DB00052
Pharmacia and upjohn co,DB00052
Eli lilly and co,DB00052
Novo nordisk inc,DB00052
Sandoz inc,DB00052
Emd serono inc,DB00052
Lg life sciences ltd,DB00052
Genzyme corp,DB00053
Wyeth pharmaceuticals inc,DB00056
Biogen Idec,DB00060
Sigma tau pharmaceuticals inc,DB00061
Schering corp,DB00063
J&J and Mitsubisi Tanabe,DB00065
Organon usa inc,DB00066
Emd serono inc,DB00066
Parke davis div warner lambert co,DB00067
Amphastar pharmaceutical inc,DB00070
Primapharm inc,DB00070
Ista pharmaceuticals,DB00070
Baxter healthcare corp anesthesia and critical care,DB00070
Eli lilly and co,DB00071
Novo nordisk inc,DB00071
Roche,DB00073
Cubist pharmaceuticals inc,DB00080
Pharmacia and upjohn co,DB00082
Genzyme corp,DB00088
Apotex inc,DB00091
Ivax pharmaceuticals inc sub teva pharmaceuticals usa,DB00091
Pliva inc,DB00091
Sandoz inc,DB00091
Abbott laboratories,DB00091
Novartis pharmaceuticals corp,DB00091
Allergan inc,DB00091
