drugbank-id,name,parent_key
DB00001,Lepirudin,SMP00278
DB01022,Phylloquinone,SMP00278
DB01373,Calcium,SMP00278
DB00002,Cetuximab,SMP00474
DB00006,Bivalirudin,SMP00277
DB01022,Phylloquinone,SMP00277
DB01373,Calcium,SMP00277
DB00009,Alteplase,SMP00280
DB01022,Phylloquinone,SMP00280
DB01373,Calcium,SMP00280
DB00013,Urokinase,SMP00284
DB01022,Phylloquinone,SMP00284
DB01373,Calcium,SMP00284
DB00015,Reteplase,SMP00285
DB01022,Phylloquinone,SMP00285
DB01373,Calcium,SMP00285
DB00029,Anistreplase,SMP00281
DB01022,Phylloquinone,SMP00281
DB01373,Calcium,SMP00281
DB00031,Tenecteplase,SMP00283
DB01022,Phylloquinone,SMP00283
DB01373,Calcium,SMP00283
DB00054,Abciximab,SMP00265
DB00063,Eptifibatide,SMP00266
DB00072,Trastuzumab,SMP00476
DB00086,Streptokinase,SMP00282
DB01022,Phylloquinone,SMP00282
DB01373,Calcium,SMP00282
DB00112,Bevacizumab,SMP00420
DB00114,Pyridoxal Phosphate,SMP00007
DB00117,Histidine,SMP00007
DB00128,L-Aspartic Acid,SMP00007
DB00142,Glutamic Acid,SMP00007
DB00157,NADH,SMP00007
DB01373,Calcium,SMP00007
DB01593,Zinc,SMP00007
DB01783,Pantothenic acid,SMP00007
DB01849,"3,4-Dihydrouracil",SMP00007
DB03107,Beta-Alanine,SMP00007
DB03147,Flavin adenine dinucleotide,SMP00007
DB03247,Flavin mononucleotide,SMP00007
DB03419,Uracil,SMP00007
DB00114,Pyridoxal Phosphate,SMP00012
DB00118,Ademetionine,SMP00012
DB00126,Vitamin C,SMP00012
DB00135,L-Tyrosine,SMP00012
DB00368,Norepinephrine,SMP00012
DB00668,Epinephrine,SMP00012
DB00988,Dopamine,SMP00012
DB01235,Levodopa,SMP00012
DB01592,Iron,SMP00012
DB03205,Pyrroloquinoline Quinone,SMP00012
DB00114,Pyridoxal Phosphate,SMP00013
DB00119,Pyruvic acid,SMP00013
DB00131,Adenosine monophosphate,SMP00013
DB00142,Glutamic Acid,SMP00013
DB00151,L-Cysteine,SMP00013
DB00157,NADH,SMP00013
DB00171,ATP,SMP00013
DB01592,Iron,SMP00013
DB01593,Zinc,SMP00013
DB03408,gamma-Glutamylcysteine,SMP00013
DB04160,Pyrophosphoric acid,SMP00013
DB00114,Pyridoxal Phosphate,SMP00129
DB00128,L-Aspartic Acid,SMP00129
DB00142,Glutamic Acid,SMP00129
DB00157,NADH,SMP00129
DB01373,Calcium,SMP00129
DB00114,Pyridoxal Phosphate,SMP00177
DB00116,Tetrahydrofolic acid,SMP00177
DB00118,Ademetionine,SMP00177
DB00122,Choline,SMP00177
DB00131,Adenosine monophosphate,SMP00177
DB00133,Serine,SMP00177
DB00134,Methionine,SMP00177
DB00145,Glycine,SMP00177
DB00151,L-Cysteine,SMP00177
DB00157,NADH,SMP00177
DB00171,ATP,SMP00177
DB00640,Adenosine,SMP00177
DB01345,Potassium,SMP00177
DB01378,Magnesium,SMP00177
DB01593,Zinc,SMP00177
DB01917,Putrescine,SMP00177
DB02083,"N,N-dimethylglycine",SMP00177
DB02238,4-(Methylsulfanyl)-2-Oxobutanoic Acid,SMP00177
DB03147,Flavin adenine dinucleotide,SMP00177
DB03566,Spermidine,SMP00177
DB04160,Pyrophosphoric acid,SMP00177
DB04193,L-Homoserine,SMP00177
DB04553,2-Oxobutanoic Acid,SMP00177
DB00114,Pyridoxal Phosphate,SMP00188
DB00118,Ademetionine,SMP00188
DB00125,L-Arginine,SMP00188
DB00128,L-Aspartic Acid,SMP00188
DB00129,Ornithine,SMP00188
DB00131,Adenosine monophosphate,SMP00188
DB00139,Succinic acid,SMP00188
DB00142,Glutamic Acid,SMP00188
DB00145,Glycine,SMP00188
DB00148,Creatine,SMP00188
DB00155,L-Citrulline,SMP00188
DB00157,NADH,SMP00188
DB00171,ATP,SMP00188
DB00172,L-Proline,SMP00188
DB00360,Sapropterin,SMP00188
DB00435,Nitric Oxide,SMP00188
DB02577,Mesoheme,SMP00188
DB02751,Glycocyamine,SMP00188
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",SMP00188
DB03144,N-Omega-Hydroxy-L-Arginine,SMP00188
DB03147,Flavin adenine dinucleotide,SMP00188
DB03247,Flavin mononucleotide,SMP00188
DB03904,Urea,SMP00188
DB04160,Pyrophosphoric acid,SMP00188
DB04299,Maleic Acid,SMP00188
DB04388,4-Carboxy-4-Aminobutanal,SMP00188
DB00114,Pyridoxal Phosphate,SMP00237
DB00121,Biotin,SMP00237
DB00139,Succinic acid,SMP00237
DB00142,Glutamic Acid,SMP00237
DB00147,Pyridoxal,SMP00237
DB00149,L-Leucine,SMP00237
DB00157,NADH,SMP00237
DB00161,L-Valine,SMP00237
DB00167,L-Isoleucine,SMP00237
DB00171,ATP,SMP00237
DB01762,Acetoacetic Acid,SMP00237
DB03147,Flavin adenine dinucleotide,SMP00237
DB03229,2-Oxo-4-Methylpentanoic Acid,SMP00237
DB04074,Alpha-ketoisovalerate,SMP00237
DB04183,Methylmalonic Acid,SMP00237
DB00114,Pyridoxal Phosphate,SMP00239
DB00123,L-Lysine,SMP00239
DB00142,Glutamic Acid,SMP00239
DB00157,NADH,SMP00239
DB03147,Flavin adenine dinucleotide,SMP00239
DB04207,N-(5-Amino-5-Carboxypentyl)Glutamic Acid,SMP00239
DB00114,Pyridoxal Phosphate,SMP00345
DB00145,Glycine,SMP00345
DB00157,NADH,SMP00345
DB00855,Aminolevulinic acid,SMP00345
DB01592,Iron,SMP00345
DB01593,Zinc,SMP00345
DB02285,Protoporphyrin,SMP00345
DB02577,Mesoheme,SMP00345
DB03147,Flavin adenine dinucleotide,SMP00345
DB03435,Uridine-5'-Diphosphate,SMP00345
DB04461,Coproporphyrinogen III,SMP00345
DB07780,FARNESYL DIPHOSPHATE,SMP00345
DB00114,Pyridoxal Phosphate,SMP00346
DB00145,Glycine,SMP00346
DB00157,NADH,SMP00346
DB00855,Aminolevulinic acid,SMP00346
DB01592,Iron,SMP00346
DB01593,Zinc,SMP00346
DB02285,Protoporphyrin,SMP00346
DB02577,Mesoheme,SMP00346
DB03147,Flavin adenine dinucleotide,SMP00346
DB03435,Uridine-5'-Diphosphate,SMP00346
DB04461,Coproporphyrinogen III,SMP00346
DB07780,FARNESYL DIPHOSPHATE,SMP00346
DB00114,Pyridoxal Phosphate,SMP00349
DB00133,Serine,SMP00349
DB00171,ATP,SMP00349
DB01373,Calcium,SMP00349
