text,parent_key
inhibitor,BE0000048
antagonist,BE0000767
binder,BE0000658
agonist,BE0000651
antibody,BE0000704
inhibitor,BE0000048
agonist,BE0000203
agonist,BE0000385
agonist,BE0000661
activator,BE0000211
agonist,BE0000625
agonist,BE0000385
agonist,BE0000661
agonist,BE0000654
activator,BE0000211
agonist,BE0000134
agonist,BE0000203
activator,BE0000211
agonist,BE0000654
agonist,BE0000431
agonist,BE0000661
agonist,BE0000385
agonist,BE0000793
agonist,BE0000628
agonist,BE0001036
agonist,BE0002115
agonist,BE0002116
agonist,BE0000318
agonist,BE0000661
agonist,BE0000385
other/unknown,BE0004798
agonist,BE0000490
activator,BE0000216
cofactor,BE0000364
binder,BE0001043
antagonist,BE0002117
binder,BE0002118
chaperone,BE0001098
chaperone,BE0002109
chaperone,BE0001011
chaperone,BE0002119
modulator,BE0002110
modulator,BE0002120
antagonist,BE0000565
antagonist,BE0000710
antagonist,BE0004684
antagonist,BE0002098
antagonist,BE0002099
antagonist,BE0002100
antagonist,BE0002097
antagonist,BE0000901
binder,BE0003455
binder,BE0004685
binder,BE0004686
binder,BE0000855
activator,BE0000211
agonist,BE0000033
activator,BE0000211
binder,BE0000387
binder,BE0000711
binder,BE0000467
agonist,BE0000293
agonist,BE0000416
binder,BE0000748
agonist,BE0000527
agonist,BE0000651
modulator,BE0000651
agonist,BE0000658
modulator,BE0000658
agonist,BE0002102
binder,BE0002137
binder,BE0002136
antagonist,BE0002139
agonist,BE0000134
other/unknown,BE0001164
agonist,BE0000033
agonist,BE0000033
agonist,BE0000858
metabolizer,BE0004823
antagonist,BE0000203
antibody,BE0000704
binder,BE0000075
other/unknown,BE0004806
antagonist,BE0001155
antagonist,BE0000439
multitarget,BE0000016
multitarget,BE0000041
antibody,BE0000674
other/unknown,BE0004842
inhibitor,BE0000394
other/unknown,BE0004798
agonist,BE0000661
metabolizer,BE0004828
binder,BE0000917
inhibitor,BE0000704
agonist,BE0000387
agonist,BE0000293
agonist,BE0000661
agonist,BE0000385
binder,BE0000661
binder,BE0000385
other,BE0004821
inhibitor,BE0000984
binder,BE0000033
antibody,BE0000511
antibody,BE0000066
antibody,BE0000658
antibody,BE0000651
binder,BE0000274
other/unknown,BE0004837
antibody,BE0000066
incorporation into and destabilization,BE0004833
inhibitor,BE0004832
antibody,BE0000066
