id,name,organism,known_action,position,parent_key
BE0001032,Multidrug resistance protein 1,Human,unknown,1,DB00027
BE0001069,Canalicular multispecific organic anion transporter 1,Human,unknown,4,DB00067
BE0001032,Multidrug resistance protein 1,Human,unknown,4,DB00091
BE0001061,Canalicular multispecific organic anion transporter 2,Human,unknown,5,DB00091
BE0000703,Bile salt export pump,Human,unknown,6,DB00091
BE0000785,Multidrug resistance-associated protein 1,Human,unknown,7,DB00091
BE0003642,Solute carrier organic anion transporter family member 1A2,Human,unknown,8,DB00091
BE0003643,Ileal sodium/bile acid cotransporter,Human,unknown,9,DB00091
BE0003644,Sodium/bile acid cotransporter,Human,unknown,10,DB00091
BE0001066,Solute carrier family 22 member 6,Human,unknown,11,DB00091
BE0003651,Multidrug resistance-associated protein 7,Human,unknown,12,DB00091
BE0001069,Canalicular multispecific organic anion transporter 1,Human,unknown,13,DB00091
BE0001067,ATP-binding cassette sub-family G member 2,Human,unknown,14,DB00091
BE0001004,Solute carrier organic anion transporter family member 1B1,Human,unknown,15,DB00091
BE0000340,Protein amnionless,Human,unknown,8,DB00115
BE0000238,Transcobalamin-1,Human,unknown,8,DB00115
BE0000362,Transcobalamin-2,Human,unknown,9,DB00115
BE0004690,Gastric intrinsic factor,Human,unknown,10,DB00115
BE0000936,Cubilin,Human,unknown,11,DB00115
BE0000734,Methionine synthase,Human,unknown,16,DB00115
BE0001069,Canalicular multispecific organic anion transporter 1,Human,unknown,1,DB00116
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00117
BE0000440,Monocarboxylate transporter 2,Human,unknown,1,DB00119
BE0000669,Monocarboxylate transporter 1,Human,unknown,2,DB00119
BE0003654,Monocarboxylate transporter 10,Human,unknown,3,DB00119
BE0003655,Solute carrier organic anion transporter family member 2A1,Human,unknown,4,DB00119
BE0000449,Monocarboxylate transporter 4,Human,unknown,5,DB00119
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00120
BE0003647,Solute carrier family 22 member 2,Human,unknown,1,DB00122
BE0003648,Solute carrier family 22 member 1,Human,unknown,2,DB00122
BE0003650,Solute carrier family 22 member 3,Human,unknown,3,DB00122
BE0000106,Solute carrier family 22 member 5,Human,unknown,4,DB00122
BE0000757,Solute carrier family 22 member 4,Human,unknown,5,DB00122
BE0001059,Choline transporter-like protein 1,Human,unknown,7,DB00122
BE0002182,Choline transporter-like protein 4,Human,unknown,8,DB00122
BE0002183,Choline transporter-like protein 2,Human,unknown,9,DB00122
BE0002184,Choline transporter-like protein 3,Human,unknown,10,DB00122
BE0000696,High affinity choline transporter 1,Human,unknown,15,DB00122
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00123
BE0000757,Solute carrier family 22 member 4,Human,unknown,2,DB00123
BE0000106,Solute carrier family 22 member 5,Human,unknown,1,DB00125
BE0003654,Monocarboxylate transporter 10,Human,unknown,2,DB00125
BE0000757,Solute carrier family 22 member 4,Human,unknown,3,DB00125
BE0000168,Solute carrier family 23 member 1,Human,unknown,1,DB00126
BE0000757,Solute carrier family 22 member 4,Human,unknown,1,DB00127
BE0003648,Solute carrier family 22 member 1,Human,unknown,2,DB00127
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00128
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00130
BE0000285,Sodium-coupled neutral amino acid transporter 3,Human,unknown,12,DB00130
BE0000236,Neutral amino acid transporter B(0),Human,unknown,13,DB00130
BE0000789,Large neutral amino acids transporter small subunit 2,Human,unknown,23,DB00130
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00133
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00134
BE0000178,Monocarboxylate transporter 8,Human,unknown,1,DB00135
BE0003654,Monocarboxylate transporter 10,Human,unknown,2,DB00135
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00138
BE0003645,Solute carrier family 22 member 8,Human,unknown,1,DB00139
BE0001066,Solute carrier family 22 member 6,Human,unknown,1,DB00140
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00142
BE0000669,Monocarboxylate transporter 1,Human,unknown,2,DB00142
BE0000785,Multidrug resistance-associated protein 1,Human,unknown,1,DB00143
BE0001069,Canalicular multispecific organic anion transporter 1,Human,unknown,2,DB00143
BE0001061,Canalicular multispecific organic anion transporter 2,Human,unknown,3,DB00143
BE0001188,Multidrug resistance-associated protein 4,Human,unknown,4,DB00143
BE0003639,Multidrug resistance-associated protein 5,Human,unknown,5,DB00143
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00145
BE0000106,Solute carrier family 22 member 5,Human,unknown,1,DB00148
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00149
BE0000178,Monocarboxylate transporter 8,Human,unknown,2,DB00149
BE0000178,Monocarboxylate transporter 8,Human,unknown,1,DB00150
BE0003654,Monocarboxylate transporter 10,Human,unknown,2,DB00150
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00151
BE0003647,Solute carrier family 22 member 2,Human,unknown,1,DB00152
BE0003648,Solute carrier family 22 member 1,Human,unknown,2,DB00152
BE0000106,Solute carrier family 22 member 5,Human,unknown,3,DB00152
BE0001066,Solute carrier family 22 member 6,Human,unknown,1,DB00155
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00156
BE0001061,Canalicular multispecific organic anion transporter 2,Human,unknown,1,DB00158
BE0003658,ATP-binding cassette sub-family C member 11,Human,unknown,2,DB00158
BE0001066,Solute carrier family 22 member 6,Human,unknown,3,DB00158
BE0001188,Multidrug resistance-associated protein 4,Human,unknown,3,DB00158
BE0001067,ATP-binding cassette sub-family G member 2,Human,unknown,3,DB00158
BE0001048,Proton-coupled folate transporter,Human,unknown,3,DB00158
BE0000730,Mitochondrial folate transporter/carrier,Human,unknown,3,DB00158
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00160
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00161
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00167
BE0001066,Solute carrier family 22 member 6,Human,unknown,1,DB00168
BE0003645,Solute carrier family 22 member 8,Human,unknown,2,DB00168
BE0000879,Solute carrier family 22 member 11,Human,unknown,3,DB00168
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00172
BE0003654,Monocarboxylate transporter 10,Human,unknown,1,DB00174
BE0001004,Solute carrier organic anion transporter family member 1B1,Human,unknown,1,DB00175
BE0001042,Solute carrier organic anion transporter family member 2B1,Human,unknown,2,DB00175
BE0001032,Multidrug resistance protein 1,Human,unknown,3,DB00175
BE0003642,Solute carrier organic anion transporter family member 1A2,Human,unknown,4,DB00175
BE0001066,Solute carrier family 22 member 6,Human,unknown,5,DB00175
BE0003645,Solute carrier family 22 member 8,Human,unknown,6,DB00175
BE0001069,Canalicular multispecific organic anion transporter 1,Human,unknown,7,DB00175
BE0000879,Solute carrier family 22 member 11,Human,unknown,8,DB00175
BE0001067,ATP-binding cassette sub-family G member 2,Human,unknown,9,DB00175
BE0003646,Solute carrier family 22 member 7,Human,unknown,10,DB00175
BE0000669,Monocarboxylate transporter 1,Human,unknown,11,DB00175
BE0000703,Bile salt export pump,Human,unknown,16,DB00175
BE0003659,Solute carrier organic anion transporter family member 1B3,Human,unknown,17,DB00175
BE0001032,Multidrug resistance protein 1,Human,unknown,1,DB00176
BE0003659,Solute carrier organic anion transporter family member 1B3,Human,unknown,1,DB00177
BE0001004,Solute carrier organic anion transporter family member 1B1,Human,unknown,2,DB00177
BE0001018,Solute carrier family 15 member 1,Human,unknown,1,DB00178
BE0001134,Solute carrier family 15 member 2,Human,unknown,2,DB00178
BE0003645,Solute carrier family 22 member 8,Human,unknown,1,DB00181
BE0003650,Solute carrier family 22 member 3,Human,unknown,4,DB00182
BE0000106,Solute carrier family 22 member 5,Human,unknown,5,DB00182
BE0003647,Solute carrier family 22 member 2,Human,unknown,12,DB00184
BE0003648,Solute carrier family 22 member 1,Human,unknown,13,DB00184
BE0003650,Solute carrier family 22 member 3,Human,unknown,14,DB00184
BE0000106,Solute carrier family 22 member 5,Human,unknown,15,DB00184
BE0000757,Solute carrier family 22 member 4,Human,unknown,16,DB00184
BE0001032,Multidrug resistance protein 1,Human,unknown,1,DB00196
BE0000703,Bile salt export pump,Human,unknown,1,DB00197
BE0001004,Solute carrier organic anion transporter family member 1B1,Human,unknown,2,DB00197
BE0001188,Multidrug resistance-associated protein 4,Human,unknown,5,DB00198
BE0001018,Solute carrier family 15 member 1,Human,unknown,6,DB00198
BE0003645,Solute carrier family 22 member 8,Human,unknown,7,DB00198
BE0001032,Multidrug resistance protein 1,Human,no,1,DB00199
BE0001004,Solute carrier organic anion transporter family member 1B1,Human,no,1,DB00199
BE0001032,Multidrug resistance protein 1,Human,unknown,5,DB00201
BE0001188,Multidrug resistance-associated protein 4,Human,unknown,3,DB00203
BE0003639,Multidrug resistance-associated protein 5,Human,unknown,4,DB00203
BE0003651,Multidrug resistance-associated protein 7,Human,unknown,5,DB00203
BE0001032,Multidrug resistance protein 1,Human,unknown,1,DB00206
BE0003648,Solute carrier family 22 member 1,Human,unknown,2,DB00206
BE0000703,Bile salt export pump,Human,unknown,3,DB00206
BE0001069,Canalicular multispecific organic anion transporter 1,Human,unknown,4,DB00206
BE0003647,Solute carrier family 22 member 2,Human,unknown,5,DB00206
BE0001032,Multidrug resistance protein 1,Human,unknown,1,DB00207
BE0001018,Solute carrier family 15 member 1,Human,unknown,3,DB00211
BE0001032,Multidrug resistance protein 1,Human,unknown,1,DB00213
BE0001067,ATP-binding cassette sub-family G member 2,Human,unknown,2,DB00213
BE0001004,Solute carrier organic anion transporter family member 1B1,Human,unknown,3,DB00213
BE0001032,Multidrug resistance protein 1,Human,unknown,1,DB00215
BE0000647,Sodium-dependent dopamine transporter,Human,unknown,9,DB00215
BE0000486,Sodium-dependent noradrenaline transporter,Human,unknown,10,DB00215
BE0000749,Sodium-dependent serotonin transporter,Human,unknown,11,DB00215
BE0001032,Multidrug resistance protein 1,Human,unknown,8,DB00216
BE0001032,Multidrug resistance protein 1,Human,unknown,1,DB00220
BE0003648,Solute carrier family 22 member 1,Human,unknown,2,DB00220
BE0003642,Solute carrier organic anion transporter family member 1A2,Human,unknown,3,DB00220
BE0001067,ATP-binding cassette sub-family G member 2,Human,unknown,4,DB00220
BE0001004,Solute carrier organic anion transporter family member 1B1,Human,unknown,5,DB00220
BE0001032,Multidrug resistance protein 1,Human,unknown,1,DB00224
BE0003648,Solute carrier family 22 member 1,Human,unknown,2,DB00224
BE0000785,Multidrug resistance-associated protein 1,Human,unknown,3,DB00224
BE0003642,Solute carrier organic anion transporter family member 1A2,Human,unknown,4,DB00224
BE0001004,Solute carrier organic anion transporter family member 1B1,Human,unknown,5,DB00224
BE0001069,Canalicular multispecific organic anion transporter 1,Human,unknown,6,DB00224
BE0001032,Multidrug resistance protein 1,Human,unknown,4,DB00227
BE0003642,Solute carrier organic anion transporter family member 1A2,Human,unknown,5,DB00227
BE0001004,Solute carrier organic anion transporter family member 1B1,Human,unknown,6,DB00227
BE0001069,Canalicular multispecific organic anion transporter 1,Human,unknown,12,DB00227
BE0001066,Solute carrier family 22 member 6,Human,unknown,1,DB00229
BE0003645,Solute carrier family 22 member 8,Human,unknown,2,DB00229
BE0001054,Excitatory amino acid transporter 3,Human,unknown,1,DB00230
BE0001032,Multidrug resistance protein 1,Human,unknown,1,DB00234
BE0003648,Solute carrier family 22 member 1,Human,unknown,11,DB00242
BE0001067,ATP-binding cassette sub-family G member 2,Human,unknown,12,DB00242
BE0003672,Solute carrier family 28 member 3,Human,unknown,13,DB00242
BE0003660,Solute carrier organic anion transporter family member 1C1,Human,unknown,7,DB00252
BE0001032,Multidrug resistance protein 1,Human,unknown,8,DB00252
BE0001069,Canalicular multispecific organic anion transporter 1,Human,unknown,9,DB00252
BE0001066,Solute carrier family 22 member 6,Human,unknown,1,DB00254
BE0003645,Solute carrier family 22 member 8,Human,unknown,2,DB00254
BE0000879,Solute carrier family 22 member 11,Human,unknown,3,DB00254
BE0001067,ATP-binding cassette sub-family G member 2,Human,unknown,1,DB00255
BE0001032,Multidrug resistance protein 1,Human,unknown,2,DB00255
BE0001061,Canalicular multispecific organic anion transporter 2,Human,unknown,6,DB00257
BE0001032,Multidrug resistance protein 1,Human,unknown,7,DB00257
BE0001069,Canalicular multispecific organic anion transporter 1,Human,unknown,8,DB00257
BE0000703,Bile salt export pump,Human,unknown,18,DB00257
BE0004704,Proton-coupled amino acid transporter 2,Human,unknown,2,DB00260
BE0003647,Solute carrier family 22 member 2,Human,unknown,2,DB00264
BE0001032,Multidrug resistance protein 1,Human,unknown,3,DB00264
BE0001018,Solute carrier family 15 member 1,Human,unknown,3,DB00274
BE0001134,Solute carrier family 15 member 2,Human,unknown,4,DB00274
BE0001069,Canalicular multispecific organic anion transporter 1,Human,unknown,1,DB00275
BE0003659,Solute carrier organic anion transporter family member 1B3,Human,unknown,2,DB00275
BE0001004,Solute carrier organic anion transporter family member 1B1,Human,unknown,3,DB00275
BE0001032,Multidrug resistance protein 1,Human,unknown,4,DB00276
