title,url,parent_key
Vitamin B12 transport proteins: crystallographic analysis of beta-axial ligand substitutions in cobalamin bound to transcobalamin,https://www.deepdyve.com/lp/wiley/vitamin-b12-transport-proteins-crystallographic-analysis-of-axial-v3o3CECevc?articleList=%2Fsearch%3Fquery%3DVitamin%2BB12%2BTransporters,BE0000734
Link,http://www.pharmgkb.org/pathway/PA145011110,BE0003659
Link,https://www.pharmgkb.org/pathway/PA150642262#,BE0001069
Link,https://www.pharmgkb.org/pathway/PA150642262#,BE0003664
Link,https://www.pharmgkb.org/pathway/PA150642262#,BE0003666
"FDA Drug Development and Drug Interactions: Table of Substrates, Inhibitors and Inducers",https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DevelopmentResources/DrugInteractionsLabeling/ucm093664.htm,BE0003645
Link,https://www.pharmgkb.org/pathway/PA150642262#,BE0001069
Link,http://www.pharmgkb.org/pathway/PA165980774,BE0004783
Link,https://www.pharmgkb.org/pathway/PA2040,BE0004781
Link,https://www.pharmgkb.org/pathway/PA2040,BE0003672
Link,https://www.pharmgkb.org/pathway/PA2040,BE0001204
Link,https://www.pharmgkb.org/pathway/PA2040,BE0004706
Empowerpharmacy,https://www.empowerpharmacy.com/drugs/testosterone-propionate-injection.html,BE0001032
Pharmaceuticals and Medical Devices Agency (PMDA): Topiroxostat review,https://www.pmda.go.jp/files/000153624.pdf,BE0003645
Pharmaceuticals and Medical Devices Agency (PMDA): Topiroxostat review,https://www.pmda.go.jp/files/000153624.pdf,BE0001066
FDA GRAS,https://www.fda.gov/downloads/Food/IngredientsPackagingLabeling/GRAS/NoticeInventory/ucm465256.pdf,BE0001018
Link,http://cptrinitiative.org/wp-content/uploads/2013/11/CPTR_DAY2_0820_01_SCOTT-BUTLER.pdf,BE0001004
FDA reports,https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/PsychopharmacologicDrugsAdvisoryCommittee/UCM602419.pdf,BE0002369
FDA reports,https://www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/Drugs/PsychopharmacologicDrugsAdvisoryCommittee/UCM602419.pdf,BE0003657
European Medicines Agency (EMA): BESPONSA Summary of Product Characteristics,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004119/WC500231261.pdf,BE0001032
"Ferumoxytol, Davisplus",https://davisplus.fadavis.com/3976/meddeck/pdf/ferumoxytol.pdf,BE0000510
"Ferumoxytol, Davisplus",https://davisplus.fadavis.com/3976/meddeck/pdf/ferumoxytol.pdf,BE0000085
"Ferumoxytol, Davisplus",https://davisplus.fadavis.com/3976/meddeck/pdf/ferumoxytol.pdf,BE0000399
JEVTANA - cabazitaxel,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de3d9c26-572b-4ea4-9b2d-dd58a2b3e8fa,BE0001032
JEVTANA - cabazitaxel,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de3d9c26-572b-4ea4-9b2d-dd58a2b3e8fa,BE0001067
JEVTANA - cabazitaxel,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de3d9c26-572b-4ea4-9b2d-dd58a2b3e8fa,BE0001004
JEVTANA - cabazitaxel,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de3d9c26-572b-4ea4-9b2d-dd58a2b3e8fa,BE0003659
Copper,https://www.canada.ca/en/health-canada/services/publications/healthy-living/guidelines-canadian-drinking-water-quality-guideline-technical-document-copper.html,BE0000530
Copper,https://www.canada.ca/en/health-canada/services/publications/healthy-living/guidelines-canadian-drinking-water-quality-guideline-technical-document-copper.html,BE0001140
Gallium-Mechanism article,http://jnm.snmjournals.org/content/21/3/282.full.pdf,BE0004850
Gallium-Mechanism article,http://jnm.snmjournals.org/content/21/3/282.full.pdf,BE0007205
Gallium-Mechanism article,http://jnm.snmjournals.org/content/21/3/282.full.pdf,BE0000085
Gallium-Mechanism article,http://jnm.snmjournals.org/content/21/3/282.full.pdf,BE0000399
Link,http://md.gehealthcare.com/files/pdfs/msds/datscan.pdf,BE0000647
Brentuximab vedotin: clinical updates and practical guidance,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5762734/,BE0002369
UniProt: Mitochondrial 2-oxodicarboxylate carrier,http://www.uniprot.org/uniprot/Q9BQT8,BE0008678
UniProt: Solute carrier family 13 member 2,http://www.uniprot.org/uniprot/Q13183,BE0000447
Journal of Health Science,http://jhs.pharm.or.jp/data/55(4)/55_540.pdf,BE0001032
Reserpine-induced Reduction in Norepinephrine Transporter Function Requires Catecholamine Storage Vesicles,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2859979/,BE0000486
Reserpine-induced Reduction in Norepinephrine Transporter Function Requires Catecholamine Storage Vesicles,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2859979/,BE0008661
UniProt,http://www.uniprot.org/uniprot/Q92887,BE0001069
ChEMBL,https://www.ebi.ac.uk/chembldb/compound/inspect/CHEMBL1646,BE0001069
Nitrate transport in salivary glands with implications for NO homeostasis,http://www.pnas.org/content/109/33/13144,BE0003501
UniProt: Ryanodine receptor 1,http://www.uniprot.org/uniprot/P21817,BE0000739
UniProt: Ryanodine receptor 2,http://www.uniprot.org/uniprot/Q92736,BE0005295
UniProt: Polycystic kidney disease 2-like 1 protein,http://www.uniprot.org/uniprot/Q9P0L9,BE0008712
UniProt: Ryanodine receptor 3,http://www.uniprot.org/uniprot/Q15413,BE0005296
UniProt: Polycystic kidney disease protein 1-like 3,http://www.uniprot.org/uniprot/Q7Z443,BE0008713
UniProt: Cation channel sperm-associated protein 1,http://www.uniprot.org/uniprot/Q8NEC5,BE0008714
Interaction between SNPs in selenoprotein P and mitochondrial superoxide dismutase determines prostate cancer risk,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2800981/,BE0005533
UniProt: Ryanodine receptor 1,http://www.uniprot.org/uniprot/P21817,BE0000739
UniProt: Ryanodine receptor 2,http://www.uniprot.org/uniprot/Q92736,BE0005295
UniProt: Polycystic kidney disease 2-like 1 protein,http://www.uniprot.org/uniprot/Q9P0L9,BE0008712
UniProt: Ryanodine receptor 3,http://www.uniprot.org/uniprot/Q15413,BE0005296
UniProt: Polycystic kidney disease protein 1-like 3,http://www.uniprot.org/uniprot/Q7Z443,BE0008713
UniProt: Cation channel sperm-associated protein 1,http://www.uniprot.org/uniprot/Q8NEC5,BE0008714
FDA Clinical Pharmacology and Biopharmaceutics Review,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/208073Orig1s000ClinPharmR.pdf,BE0003642
FDA Clinical Pharmacology and Biopharmaceutics Review,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/208073Orig1s000ClinPharmR.pdf,BE0001042
FDA Reports,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/208772Orig1s000MultidisciplineR.pdf,BE0002369
FDA Reports,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/208772Orig1s000MultidisciplineR.pdf,BE0001067
FDA Reports,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/208772Orig1s000MultidisciplineR.pdf,BE0003648
FDA Reports,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/208772Orig1s000MultidisciplineR.pdf,BE0003657
FDA Reports,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/208772Orig1s000MultidisciplineR.pdf,BE0004752
UniProt,http://www.uniprot.org/uniprot/Q9Y6L6,BE0001004
ChEMBL,https://www.ebi.ac.uk/chembldb/compound/inspect/CHEMBL1002,BE0001004
ChEMBL,https://www.ebi.ac.uk/chembldb/compound/inspect/CHEMBL1002,BE0003659
UniProt,http://www.uniprot.org/uniprot/Q9NPD5,BE0003659
FDA Reports,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/208054Orig1s000PharmR.pdf,BE0001032
FDA Reports,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/208054Orig1s000PharmR.pdf,BE0001188
ChEMBL,https://www.ebi.ac.uk/chembldb/compound/inspect/CHEMBL1096927,BE0001004
UniProt,http://www.uniprot.org/uniprot/Q9Y6L6,BE0001004
ChEMBL,https://www.ebi.ac.uk/chembldb/compound/inspect/CHEMBL1096927,BE0003659
UniProt,http://www.uniprot.org/uniprot/Q9NPD5,BE0003659
KEGG,http://www.genome.jp/dbget-bin/www_bget?cpd:C09621,BE0003659
UniProt,http://www.uniprot.org/uniprot/Q9Y6L6,BE0001004
