synonyms,polypeptide_id
"3.6.3.44,ATP-binding cassette sub-family B member 1,MDR1,P-glycoprotein 1,PGY1",P08183
"ATP-binding cassette sub-family C member 2,Canalicular multidrug resistance protein,CMOAT,CMOAT1,CMRP,MRP2,Multidrug resistance-associated protein 2",Q92887
"3.6.3.44,ATP-binding cassette sub-family B member 1,MDR1,P-glycoprotein 1,PGY1",P08183
"ATP-binding cassette sub-family C member 3,CMOAT2,MLP2,MOAT-D,MRP3,Multi-specific organic anion transporter D,Multidrug resistance-associated protein 3",O15438
"ATP-binding cassette sub-family B member 11,BSEP",O95342
"ATP-binding cassette sub-family C member 1,Leukotriene C(4) transporter,LTC4 transporter,MRP,MRP1",P33527
"OATP,OATP-1,OATP-A,OATP1,OATP1A2,Organic anion-transporting polypeptide 1,SLC21A3,Sodium-independent organic anion transporter,Solute carrier family 21 member 3",P46721
"Apical sodium-dependent bile acid transporter,ASBT,IBAT,Ileal Na(+)/bile acid cotransporter,Ileal sodium-dependent bile acid transporter,ISBT,Na(+)-dependent ileal bile acid transporter,NTCP2,Sodium/taurocholate cotransporting polypeptide, ileal,Solute carrier family 10 member 2",Q12908
"Cell growth-inhibiting gene 29 protein,Na(+)/bile acid cotransporter,Na(+)/taurocholate transport protein,NTCP,Sodium/taurocholate cotransporting polypeptide,Solute carrier family 10 member 1",Q14973
"hOAT1,hPAHT,hROAT1,OAT1,Organic anion transporter 1,PAH transporter,PAHT,Renal organic anion transporter 1",Q4U2R8
"ATP-binding cassette sub-family C member 10,MRP7,SIMRP7",Q5T3U5
"ATP-binding cassette sub-family C member 2,Canalicular multidrug resistance protein,CMOAT,CMOAT1,CMRP,MRP2,Multidrug resistance-associated protein 2",Q92887
"ABCP,BCRP,BCRP1,Breast cancer resistance protein,CDw338,Mitoxantrone resistance-associated protein,MXR,Placenta-specific ATP-binding cassette transporter,Urate exporter",Q9UNQ0
"Liver-specific organic anion transporter 1,LST-1,LST1,OATP-2,OATP-C,OATP1B1,OATP2,OATPC,SLC21A6,Sodium-independent organic anion-transporting polypeptide 2,Solute carrier family 21 member 6",Q9Y6L6
Amnionless protein precursor,Q9BXJ7
"Haptocorrin,HC,Protein R,TC I,TC-1,TC1,TCI,Transcobalamin I",P20061
"TC II,TC-2,TC2,TCII,Transcobalamin II",P20062
"IF,IFMH,INF,Intrinsic factor",P27352
"460 kDa receptor,IFCR,Intestinal intrinsic factor receptor,Intrinsic factor-cobalamin receptor,Intrinsic factor-vitamin B12 receptor",O60494
"2.1.1.13,5-methyltetrahydrofolate--homocysteine methyltransferase,MS,Vitamin-B12 dependent methionine synthase",Q99707
"ATP-binding cassette sub-family C member 2,Canalicular multidrug resistance protein,CMOAT,CMOAT1,CMRP,MRP2,Multidrug resistance-associated protein 2",Q92887
"Aromatic amino acid transporter 1,MCT 10,MCT10,Solute carrier family 16 member 10,T-type amino acid transporter 1,TAT1",Q8TF71
"MCT 2,MCT2,Solute carrier family 16 member 7",O60669
"MCT 1,MCT1,Solute carrier family 16 member 1",P53985
"Aromatic amino acid transporter 1,MCT 10,MCT10,Solute carrier family 16 member 10,T-type amino acid transporter 1,TAT1",Q8TF71
"OATP2A1,PGT,Prostaglandin transporter,SLC21A2,Solute carrier family 21 member 2",Q92959
"MCT 4,MCT4,Solute carrier family 16 member 3",O15427
"Aromatic amino acid transporter 1,MCT 10,MCT10,Solute carrier family 16 member 10,T-type amino acid transporter 1,TAT1",Q8TF71
"hOCT2,OCT2,Organic cation transporter 2",O15244
"hOCT1,OCT1,Organic cation transporter 1",O15245
"EMT,EMTH,Extraneuronal monoamine transporter,OCT3,Organic cation transporter 3",O75751
"High-affinity sodium-dependent carnitine cotransporter,OCTN2,Organic cation/carnitine transporter 2",O76082
"Ergothioneine transporter,ET transporter,ETT,OCTN1,Organic cation/carnitine transporter 1,UT2H",Q9H015
"CD92,CDW92,CTL1,Solute carrier family 44 member 1",Q8WWI5
"C6orf29,CTL4,NG22,Solute carrier family 44 member 4",Q53GD3
"CTL2,Solute carrier family 44 member 2",Q8IWA5
"CTL3,Solute carrier family 44 member 3",Q8N4M1
"CHT,CHT1,Hemicholinium-3-sensitive choline transporter,Solute carrier family 5 member 7",Q9GZV3
"Aromatic amino acid transporter 1,MCT 10,MCT10,Solute carrier family 16 member 10,T-type amino acid transporter 1,TAT1",Q8TF71
"Ergothioneine transporter,ET transporter,ETT,OCTN1,Organic cation/carnitine transporter 1,UT2H",Q9H015
"High-affinity sodium-dependent carnitine cotransporter,OCTN2,Organic cation/carnitine transporter 2",O76082
"Aromatic amino acid transporter 1,MCT 10,MCT10,Solute carrier family 16 member 10,T-type amino acid transporter 1,TAT1",Q8TF71
"Ergothioneine transporter,ET transporter,ETT,OCTN1,Organic cation/carnitine transporter 1,UT2H",Q9H015
"hSVCT1,Na(+)/L-ascorbic acid transporter 1,Sodium-dependent vitamin C transporter 1,SVCT1,Yolk sac permease-like molecule 3,YSPL3",Q9UHI7
"Ergothioneine transporter,ET transporter,ETT,OCTN1,Organic cation/carnitine transporter 1,UT2H",Q9H015
"hOCT1,OCT1,Organic cation transporter 1",O15245
"Aromatic amino acid transporter 1,MCT 10,MCT10,Solute carrier family 16 member 10,T-type amino acid transporter 1,TAT1",Q8TF71
"Aromatic amino acid transporter 1,MCT 10,MCT10,Solute carrier family 16 member 10,T-type amino acid transporter 1,TAT1",Q8TF71
"G17,N-system amino acid transporter 1,Na(+)-coupled neutral amino acid transporter 3,NAT1,SN1,SNAT3,Solute carrier family 38 member 3,System N amino acid transporter 1",Q99624
"ASCT2,ATB(0),Baboon M7 virus receptor,M7V1,RD114/simian type D retrovirus receptor,RDR,RDRC,Sodium-dependent neutral amino acid transporter type 2,Solute carrier family 1 member 5",Q15758
"hLAT2,L-type amino acid transporter 2,LAT2,Solute carrier family 7 member 8",Q9UHI5
"Aromatic amino acid transporter 1,MCT 10,MCT10,Solute carrier family 16 member 10,T-type amino acid transporter 1,TAT1",Q8TF71
"Aromatic amino acid transporter 1,MCT 10,MCT10,Solute carrier family 16 member 10,T-type amino acid transporter 1,TAT1",Q8TF71
"MCT 7,MCT 8,MCT8,Monocarboxylate transporter 7,Solute carrier family 16 member 2,X-linked PEST-containing transporter,XPCT",P36021
"Aromatic amino acid transporter 1,MCT 10,MCT10,Solute carrier family 16 member 10,T-type amino acid transporter 1,TAT1",Q8TF71
"Aromatic amino acid transporter 1,MCT 10,MCT10,Solute carrier family 16 member 10,T-type amino acid transporter 1,TAT1",Q8TF71
"hOAT3,OAT3,Organic anion transporter 3",Q8TCC7
