category,description,polypeptide_id
component,membrane,P08183
component,plasma membrane,P08183
component,cell surface,P08183
component,integral component of membrane,P08183
component,extracellular exosome,P08183
function,transporter activity,P08183
function,ATP binding,P08183
function,xenobiotic-transporting ATPase activity,P08183
function,"ATPase activity, coupled to transmembrane movement of substances",P08183
process,transmembrane transport,P08183
process,transport,P08183
process,drug transmembrane transport,P08183
process,G2/M transition of mitotic cell cycle,P08183
process,response to drug,P08183
process,stem cell proliferation,P08183
process,small molecule metabolic process,P08183
component,plasma membrane,Q92887
component,cell surface,Q92887
component,integral component of plasma membrane,Q92887
component,apical plasma membrane,Q92887
function,ATP binding,Q92887
function,"ATPase activity, coupled to transmembrane movement of substances",Q92887
function,organic anion transmembrane transporter activity,Q92887
process,transport,Q92887
process,drug transmembrane transport,Q92887
process,response to methotrexate,Q92887
process,response to heat,Q92887
process,response to arsenic-containing substance,Q92887
process,response to oxidative stress,Q92887
process,cellular chloride ion homeostasis,Q92887
process,prostaglandin transport,Q92887
process,transmembrane transport,Q92887
process,response to estrogen,Q92887
process,thyroid hormone transport,Q92887
component,membrane,P08183
component,plasma membrane,P08183
component,cell surface,P08183
component,integral component of membrane,P08183
component,extracellular exosome,P08183
function,transporter activity,P08183
function,ATP binding,P08183
function,xenobiotic-transporting ATPase activity,P08183
function,"ATPase activity, coupled to transmembrane movement of substances",P08183
process,transmembrane transport,P08183
process,transport,P08183
process,drug transmembrane transport,P08183
process,G2/M transition of mitotic cell cycle,P08183
process,response to drug,P08183
process,stem cell proliferation,P08183
process,small molecule metabolic process,P08183
component,membrane,O15438
component,plasma membrane,O15438
component,integral component of plasma membrane,O15438
function,ATP binding,O15438
function,"ATPase activity, coupled to transmembrane movement of substances",O15438
function,organic anion transmembrane transporter activity,O15438
process,transport,O15438
process,small molecule metabolic process,O15438
process,transmembrane transport,O15438
process,bile acid metabolic process,O15438
process,bile acid and bile salt transport,O15438
component,membrane,O95342
component,intercellular canaliculus,O95342
component,plasma membrane,O95342
component,extracellular exosome,O95342
component,integral component of plasma membrane,O95342
component,apical part of cell,O95342
function,transporter activity,O95342
function,ATP binding,O95342
function,bile acid-exporting ATPase activity,O95342
function,canalicular bile acid transmembrane transporter activity,O95342
function,"sodium-exporting ATPase activity, phosphorylative mechanism",O95342
process,bile acid metabolic process,O95342
process,transport,O95342
process,bile acid and bile salt transport,O95342
process,small molecule metabolic process,O95342
process,canalicular bile acid transport,O95342
process,sodium ion transmembrane transport,O95342
process,bile acid biosynthetic process,O95342
component,basolateral plasma membrane,P33527
component,membrane,P33527
component,plasma membrane,P33527
component,extracellular exosome,P33527
component,integral component of plasma membrane,P33527
function,transporter activity,P33527
