identifier,name,polypeptide_id
PF00005,ABC_tran,P08183
PF00664,ABC_membrane,P08183
PF00005,ABC_tran,Q92887
PF00664,ABC_membrane,Q92887
PF00005,ABC_tran,P08183
PF00664,ABC_membrane,P08183
PF00005,ABC_tran,O15438
PF00664,ABC_membrane,O15438
PF00005,ABC_tran,O95342
PF00664,ABC_membrane,O95342
PF00005,ABC_tran,P33527
PF00664,ABC_membrane,P33527
PF07648,Kazal_2,P46721
PF03137,OATP,P46721
PF01758,SBF,Q12908
PF01758,SBF,Q14973
PF00083,Sugar_tr,Q4U2R8
PF00005,ABC_tran,Q5T3U5
PF00664,ABC_membrane,Q5T3U5
PF00005,ABC_tran,Q92887
PF00664,ABC_membrane,Q92887
PF00005,ABC_tran,Q9UNQ0
PF01061,ABC2_membrane,Q9UNQ0
PF07648,Kazal_2,Q9Y6L6
PF03137,OATP,Q9Y6L6
PF01122,Cobalamin_bind,P20061
PF14478,DUF4430,P20061
PF01122,Cobalamin_bind,P20062
PF14478,DUF4430,P20062
PF01122,Cobalamin_bind,P27352
PF14478,DUF4430,P27352
PF00008,EGF,O60494
PF07645,EGF_CA,O60494
PF00431,CUB,O60494
PF12947,EGF_3,O60494
PF00809,Pterin_bind,Q99707
PF02310,B12-binding,Q99707
PF02607,B12-binding_2,Q99707
PF02965,Met_synt_B12,Q99707
PF02574,S-methyl_trans,Q99707
PF00005,ABC_tran,Q92887
PF00664,ABC_membrane,Q92887
PF07690,MFS_1,Q8TF71
PF07690,MFS_1,O60669
PF07690,MFS_1,P53985
PF07690,MFS_1,Q8TF71
PF07648,Kazal_2,Q92959
PF03137,OATP,Q92959
PF07690,MFS_1,O15427
PF07690,MFS_1,Q8TF71
PF00083,Sugar_tr,O15244
PF00083,Sugar_tr,O15245
PF07690,MFS_1,O75751
PF00083,Sugar_tr,O76082
PF00083,Sugar_tr,Q9H015
PF04515,Choline_transpo,Q8WWI5
PF04515,Choline_transpo,Q53GD3
PF04515,Choline_transpo,Q8IWA5
PF04515,Choline_transpo,Q8N4M1
PF00474,SSF,Q9GZV3
PF07690,MFS_1,Q8TF71
PF00083,Sugar_tr,Q9H015
PF00083,Sugar_tr,O76082
PF07690,MFS_1,Q8TF71
PF00083,Sugar_tr,Q9H015
PF00860,Xan_ur_permease,Q9UHI7
PF00083,Sugar_tr,Q9H015
PF00083,Sugar_tr,O15245
PF07690,MFS_1,Q8TF71
PF07690,MFS_1,Q8TF71
PF01490,Aa_trans,Q99624
PF00375,SDF,Q15758
PF13520,AA_permease_2,Q9UHI5
PF07690,MFS_1,Q8TF71
PF07690,MFS_1,Q8TF71
PF07690,MFS_1,P36021
PF07690,MFS_1,Q8TF71
PF07690,MFS_1,Q8TF71
PF00083,Sugar_tr,Q8TCC7
PF00083,Sugar_tr,Q4U2R8
PF07690,MFS_1,Q8TF71
PF07690,MFS_1,P53985
PF00005,ABC_tran,P33527
PF00664,ABC_membrane,P33527
PF00005,ABC_tran,Q92887
PF00664,ABC_membrane,Q92887
PF00005,ABC_tran,O15438
PF00664,ABC_membrane,O15438
PF00005,ABC_tran,O15439
PF00664,ABC_membrane,O15439
PF00005,ABC_tran,O15440
PF00664,ABC_membrane,O15440
PF07690,MFS_1,Q8TF71
PF00083,Sugar_tr,O76082
PF07690,MFS_1,Q8TF71
PF07690,MFS_1,P36021
PF07690,MFS_1,P36021
PF07690,MFS_1,Q8TF71
PF07690,MFS_1,Q8TF71
PF00083,Sugar_tr,O15244
PF00083,Sugar_tr,O15245
PF00083,Sugar_tr,O76082
PF00083,Sugar_tr,Q4U2R8
PF07690,MFS_1,Q8TF71
PF00005,ABC_tran,O15438
PF00664,ABC_membrane,O15438
PF00005,ABC_tran,Q96J66
PF00664,ABC_membrane,Q96J66
PF00083,Sugar_tr,Q4U2R8
PF00005,ABC_tran,O15439
PF00664,ABC_membrane,O15439
PF00005,ABC_tran,Q9UNQ0
PF01061,ABC2_membrane,Q9UNQ0
PF07690,MFS_1,Q96NT5
PF00153,Mito_carr,Q9H2D1
PF07690,MFS_1,Q8TF71
PF07690,MFS_1,Q8TF71
PF07690,MFS_1,Q8TF71
PF00083,Sugar_tr,Q4U2R8
PF00083,Sugar_tr,Q8TCC7
PF00083,Sugar_tr,Q9NSA0
PF07690,MFS_1,Q8TF71
PF07690,MFS_1,Q8TF71
PF07648,Kazal_2,Q9Y6L6
PF03137,OATP,Q9Y6L6
PF03137,OATP,O94956
PF00005,ABC_tran,P08183
PF00664,ABC_membrane,P08183
PF07648,Kazal_2,P46721
PF03137,OATP,P46721
PF00083,Sugar_tr,Q4U2R8
PF00083,Sugar_tr,Q8TCC7
PF00005,ABC_tran,Q92887
PF00664,ABC_membrane,Q92887
PF00083,Sugar_tr,Q9NSA0
PF00005,ABC_tran,Q9UNQ0
PF01061,ABC2_membrane,Q9UNQ0
PF07690,MFS_1,Q9Y694
PF07690,MFS_1,P53985
PF00005,ABC_tran,O95342
PF00664,ABC_membrane,O95342
PF07648,Kazal_2,Q9NPD5
PF03137,OATP,Q9NPD5
PF00005,ABC_tran,P08183
PF00664,ABC_membrane,P08183
PF07648,Kazal_2,Q9NPD5
PF03137,OATP,Q9NPD5
PF07648,Kazal_2,Q9Y6L6
PF03137,OATP,Q9Y6L6
PF00854,PTR2,P46059
PF00854,PTR2,Q16348
PF00083,Sugar_tr,Q8TCC7
PF07690,MFS_1,O75751
PF00083,Sugar_tr,O76082
PF00083,Sugar_tr,O15244
PF00083,Sugar_tr,O15245
PF07690,MFS_1,O75751
PF00083,Sugar_tr,O76082
PF00083,Sugar_tr,Q9H015
PF00005,ABC_tran,P08183
PF00664,ABC_membrane,P08183
PF00005,ABC_tran,O95342
PF00664,ABC_membrane,O95342
PF07648,Kazal_2,Q9Y6L6
PF03137,OATP,Q9Y6L6
PF00005,ABC_tran,O15439
PF00664,ABC_membrane,O15439
PF00854,PTR2,P46059
PF00083,Sugar_tr,Q8TCC7
PF00005,ABC_tran,P08183
PF00664,ABC_membrane,P08183
PF07648,Kazal_2,Q9Y6L6
PF03137,OATP,Q9Y6L6
PF00005,ABC_tran,P08183
