resource,identifier,polypeptide_id
HUGO Gene Nomenclature Committee (HGNC),HGNC:9605,P35354
GenAtlas,PTGS2,P35354
GenBank Gene Database,L15326,P35354
GenBank Protein Database,291988,P35354
Guide to Pharmacology,1376,P35354
UniProtKB,P35354,P35354
UniProt Accession,PGH2_HUMAN,P35354
HUGO Gene Nomenclature Committee (HGNC),HGNC:7218,P05164
GenAtlas,MPO,P05164
GenBank Gene Database,J02694,P05164
GenBank Protein Database,189040,P05164
Guide to Pharmacology,2789,P05164
UniProtKB,P05164,P05164
UniProt Accession,PERM_HUMAN,P05164
HUGO Gene Nomenclature Committee (HGNC),HGNC:2596,P05177
GenAtlas,CYP1A2,P05177
GenBank Gene Database,Z00036,P05177
Guide to Pharmacology,1319,P05177
UniProtKB,P05177,P05177
UniProt Accession,CP1A2_HUMAN,P05177
HUGO Gene Nomenclature Committee (HGNC),HGNC:2596,P05177
GenAtlas,CYP1A2,P05177
GenBank Gene Database,Z00036,P05177
Guide to Pharmacology,1319,P05177
UniProtKB,P05177,P05177
UniProt Accession,CP1A2_HUMAN,P05177
HUGO Gene Nomenclature Committee (HGNC),HGNC:2625,P10635
GenAtlas,CYP2D6,P10635
GenBank Gene Database,M20403,P10635
GenBank Protein Database,181350,P10635
Guide to Pharmacology,1329,P10635
UniProtKB,P10635,P10635
UniProt Accession,CP2D6_HUMAN,P10635
HUGO Gene Nomenclature Committee (HGNC),HGNC:3535,P00734
GenAtlas,F2,P00734
GenBank Gene Database,M17262,P00734
GenBank Protein Database,339641,P00734
Guide to Pharmacology,2362,P00734
UniProtKB,P00734,P00734
UniProt Accession,THRB_HUMAN,P00734
HUGO Gene Nomenclature Committee (HGNC),HGNC:9451,P04070
GenAtlas,PROC,P04070
GenBank Gene Database,M11228,P04070
GenBank Protein Database,190334,P04070
Guide to Pharmacology,2396,P04070
UniProtKB,P04070,P04070
UniProt Accession,PROC_HUMAN,P04070
HUGO Gene Nomenclature Committee (HGNC),HGNC:2596,P05177
GenAtlas,CYP1A2,P05177
GenBank Gene Database,Z00036,P05177
Guide to Pharmacology,1319,P05177
UniProtKB,P05177,P05177
UniProt Accession,CP1A2_HUMAN,P05177
HUGO Gene Nomenclature Committee (HGNC),HGNC:2596,P05177
GenAtlas,CYP1A2,P05177
GenBank Gene Database,Z00036,P05177
Guide to Pharmacology,1319,P05177
UniProtKB,P05177,P05177
UniProt Accession,CP1A2_HUMAN,P05177
HUGO Gene Nomenclature Committee (HGNC),HGNC:9604,P23219
