resource,identifier,polypeptide_id
HUGO Gene Nomenclature Committee (HGNC),HGNC:3535,P00734
GenAtlas,F2,P00734
GenBank Gene Database,M17262,P00734
GenBank Protein Database,339641,P00734
Guide to Pharmacology,2362,P00734
UniProtKB,P00734,P00734
UniProt Accession,THRB_HUMAN,P00734
HUGO Gene Nomenclature Committee (HGNC),HGNC:3236,P00533
GenAtlas,EGFR,P00533
GenBank Gene Database,X00588,P00533
GenBank Protein Database,757924,P00533
Guide to Pharmacology,1797,P00533
UniProtKB,P00533,P00533
UniProt Accession,EGFR_HUMAN,P00533
HUGO Gene Nomenclature Committee (HGNC),HGNC:3620,O75015
GenAtlas,FCGR3B,O75015
GenBank Gene Database,X16863,O75015
GenBank Protein Database,31322,O75015
UniProtKB,O75015,O75015
UniProt Accession,FCG3B_HUMAN,O75015
HUGO Gene Nomenclature Committee (HGNC),HGNC:1246,P00736
GenAtlas,C1R,P00736
GenBank Gene Database,X04701,P00736
GenBank Protein Database,29539,P00736
Guide to Pharmacology,2334,P00736
UniProtKB,P00736,P00736
UniProt Accession,C1R_HUMAN,P00736
HUGO Gene Nomenclature Committee (HGNC),HGNC:1241,P02745
GenAtlas,C1QA,P02745
GenBank Gene Database,AF135157,P02745
GenBank Protein Database,4894854,P02745
UniProtKB,P02745,P02745
UniProt Accession,C1QA_HUMAN,P02745
HUGO Gene Nomenclature Committee (HGNC),HGNC:1242,P02746
GenAtlas,C1QB,P02746
GenBank Gene Database,X03084,P02746
GenBank Protein Database,573114,P02746
UniProtKB,P02746,P02746
UniProt Accession,C1QB_HUMAN,P02746
HUGO Gene Nomenclature Committee (HGNC),HGNC:1245,P02747
GenAtlas,C1QC,P02747
GenBank Gene Database,AF087892,P02747
GenBank Protein Database,33150626,P02747
UniProtKB,P02747,P02747
UniProt Accession,C1QC_HUMAN,P02747
HUGO Gene Nomenclature Committee (HGNC),HGNC:3619,P08637
GenAtlas,FCGR3A,P08637
GenBank Gene Database,X52645,P08637
GenBank Protein Database,31324,P08637
UniProtKB,P08637,P08637
UniProt Accession,FCG3A_HUMAN,P08637
HUGO Gene Nomenclature Committee (HGNC),HGNC:1247,P09871
GenAtlas,C1S,P09871
GenBank Gene Database,X06596,P09871
GenBank Protein Database,763110,P09871
Guide to Pharmacology,2335,P09871
UniProtKB,P09871,P09871
UniProt Accession,C1S_HUMAN,P09871
HUGO Gene Nomenclature Committee (HGNC),HGNC:3613,P12314
GenAtlas,FCGR1A,P12314
GenBank Gene Database,X14356,P12314
GenBank Protein Database,31332,P12314
UniProtKB,P12314,P12314
UniProt Accession,FCGR1_HUMAN,P12314
HUGO Gene Nomenclature Committee (HGNC),HGNC:3616,P12318
GenAtlas,FCGR2A,P12318
GenBank Gene Database,M31932,P12318
GenBank Protein Database,182474,P12318
UniProtKB,P12318,P12318
UniProt Accession,FCG2A_HUMAN,P12318
HUGO Gene Nomenclature Committee (HGNC),HGNC:3618,P31994
GenAtlas,FCGR2B,P31994
GenBank Gene Database,U87560,P31994
GenBank Protein Database,4099445,P31994
UniProtKB,P31994,P31994
UniProt Accession,FCG2B_HUMAN,P31994
HUGO Gene Nomenclature Committee (HGNC),HGNC:15626,P31995
GenAtlas,FCGR2C,P31995
GenBank Gene Database,X17652,P31995
GenBank Protein Database,32074,P31995
UniProtKB,P31995,P31995
UniProt Accession,FCG2C_HUMAN,P31995
HUGO Gene Nomenclature Committee (HGNC),HGNC:6008,P01589
GenAtlas,IL2RA,P01589
GenBank Gene Database,X01057,P01589
GenBank Protein Database,33813,P01589
Guide to Pharmacology,1695,P01589
UniProtKB,P01589,P01589
UniProt Accession,IL2RA_HUMAN,P01589
HUGO Gene Nomenclature Committee (HGNC),HGNC:6009,P14784
GenAtlas,IL2RB,P14784
GenBank Gene Database,M26062,P14784
GenBank Protein Database,307048,P14784
UniProtKB,P14784,P14784
UniProt Accession,IL2RB_HUMAN,P14784
HUGO Gene Nomenclature Committee (HGNC),HGNC:6010,P31785
GenAtlas,IL2RG,P31785
GenBank Gene Database,D11086,P31785
GenBank Protein Database,219890,P31785
UniProtKB,P31785,P31785
UniProt Accession,IL2RG_HUMAN,P31785
HUGO Gene Nomenclature Committee (HGNC),HGNC:11892,P01375
GenAtlas,TNF,P01375
GenBank Gene Database,M16441,P01375
GenBank Protein Database,339741,P01375
Guide to Pharmacology,2635,P01375
UniProtKB,P01375,P01375
UniProt Accession,TNFA_HUMAN,P01375
HUGO Gene Nomenclature Committee (HGNC),HGNC:11917,P20333
GenAtlas,TNFRSF1B,P20333
GenBank Gene Database,M32315,P20333
GenBank Protein Database,189186,P20333
UniProtKB,P20333,P20333
UniProt Accession,TNR1B_HUMAN,P20333
HUGO Gene Nomenclature Committee (HGNC),HGNC:3613,P12314
GenAtlas,FCGR1A,P12314
GenBank Gene Database,X14356,P12314
GenBank Protein Database,31332,P12314
UniProtKB,P12314,P12314
UniProt Accession,FCGR1_HUMAN,P12314
HUGO Gene Nomenclature Committee (HGNC),HGNC:3619,P08637
GenAtlas,FCGR3A,P08637
GenBank Gene Database,X52645,P08637
GenBank Protein Database,31324,P08637
UniProtKB,P08637,P08637
UniProt Accession,FCG3A_HUMAN,P08637
HUGO Gene Nomenclature Committee (HGNC),HGNC:3616,P12318
GenAtlas,FCGR2A,P12318
GenBank Gene Database,M31932,P12318
GenBank Protein Database,182474,P12318
UniProtKB,P12318,P12318
UniProt Accession,FCG2A_HUMAN,P12318
HUGO Gene Nomenclature Committee (HGNC),HGNC:3618,P31994
GenAtlas,FCGR2B,P31994
GenBank Gene Database,U87560,P31994
GenBank Protein Database,4099445,P31994
UniProtKB,P31994,P31994
UniProt Accession,FCG2B_HUMAN,P31994
HUGO Gene Nomenclature Committee (HGNC),HGNC:15626,P31995
GenAtlas,FCGR2C,P31995
GenBank Gene Database,X17652,P31995
GenBank Protein Database,32074,P31995
