identifier,name,polypeptide_id
PF00594,Gla,P00734
PF00051,Kringle,P00734
PF00089,Trypsin,P00734
PF09396,Thrombin_light,P00734
PF07714,Pkinase_Tyr,P00533
PF00757,Furin-like,P00533
PF01030,Recep_L_domain,P00533
PF14843,GF_recep_IV,P00533
PF13895,Ig_2,O75015
PF00089,Trypsin,P00736
PF00084,Sushi,P00736
PF00431,CUB,P00736
PF01391,Collagen,P02745
PF00386,C1q,P02745
PF01391,Collagen,P02746
PF00386,C1q,P02746
PF01391,Collagen,P02747
PF00386,C1q,P02747
PF13895,Ig_2,P08637
PF00089,Trypsin,P09871
PF00084,Sushi,P09871
PF00431,CUB,P09871
PF00047,ig,P12314
PF13895,Ig_2,P12314
PF13895,Ig_2,P12318
PF13895,Ig_2,P31994
PF13895,Ig_2,P31995
PF00084,Sushi,P01589
PF00041,fn3,P31785
PF09240,IL6Ra-bind,P31785
PF00229,TNF,P01375
PF00020,TNFR_c6,P20333
PF00047,ig,P12314
PF13895,Ig_2,P12314
PF13895,Ig_2,P08637
PF13895,Ig_2,P12318
PF13895,Ig_2,P31994
PF13895,Ig_2,P31995
PF00229,TNF,P01374
PF13895,Ig_2,O75015
PF00089,Trypsin,P09871
PF00084,Sushi,P09871
PF00431,CUB,P09871
PF00089,Trypsin,P00736
PF00084,Sushi,P00736
PF00431,CUB,P00736
PF01391,Collagen,P02745
PF00386,C1q,P02745
PF01391,Collagen,P02746
PF00386,C1q,P02746
PF01391,Collagen,P02747
PF00386,C1q,P02747
PF00594,Gla,P00734
PF00051,Kringle,P00734
PF00089,Trypsin,P00734
PF09396,Thrombin_light,P00734
PF00001,7tm_1,P30968
PF01108,Tissue_fac,P48551
PF09294,Interfer-bind,P48551
PF01108,Tissue_fac,P17181
PF09294,Interfer-bind,P17181
PF00051,Kringle,P00747
PF00089,Trypsin,P00747
PF00024,PAN_1,P00747
PF00147,Fibrinogen_C,P02671
PF08702,Fib_alpha,P02671
PF12160,Fibrinogen_aC,P02671
PF00021,UPAR_LY6,Q03405
PF00079,Serpin,P05121
PF00002,7tm_2,Q02643
PF02793,HRM,Q02643
PF01108,Tissue_fac,P48551
PF09294,Interfer-bind,P48551
PF01108,Tissue_fac,P17181
PF09294,Interfer-bind,P17181
PF00041,fn3,P19235
PF09067,EpoR_lig-bind,P19235
PF00051,Kringle,P00747
PF00089,Trypsin,P00747
PF00024,PAN_1,P00747
PF00021,UPAR_LY6,Q03405
PF00051,Kringle,P00749
PF00089,Trypsin,P00749
PF00008,EGF,P00750
PF00051,Kringle,P00750
PF00089,Trypsin,P00750
PF00039,fn1,P00750
PF00079,Serpin,P05121
PF00079,Serpin,P05120
PF00079,Serpin,P05154
PF07645,EGF_CA,P98164
PF00057,Ldl_recept_a,P98164
PF00058,Ldl_recept_b,P98164
PF12662,cEGF,P98164
PF00089,Trypsin,Q9Y5Y6
PF00057,Ldl_recept_a,Q9Y5Y6
PF00431,CUB,Q9Y5Y6
PF01390,SEA,Q9Y5Y6
PF07645,EGF_CA,P14543
PF00058,Ldl_recept_b,P14543
PF00086,Thyroglobulin_1,P14543
PF06119,NIDO,P14543
PF07474,G2F,P14543
PF12662,cEGF,P14543
PF12947,EGF_3,P14543
PF00001,7tm_1,P22888
PF13306,LRR_5,P22888
PF00001,7tm_1,P30968
PF00051,Kringle,P00747
PF00089,Trypsin,P00747
PF00024,PAN_1,P00747
PF00147,Fibrinogen_C,P02671
PF08702,Fib_alpha,P02671
PF12160,Fibrinogen_aC,P02671
PF00021,UPAR_LY6,Q03405
PF00079,Serpin,P05121
PF00041,fn3,P19235
PF09067,EpoR_lig-bind,P19235
PF00002,7tm_2,P30988
PF02793,HRM,P30988
PF01108,Tissue_fac,P17181
PF09294,Interfer-bind,P17181
PF01108,Tissue_fac,P48551
PF09294,Interfer-bind,P48551
PF00041,fn3,Q99062
PF06328,Lep_receptor_Ig,Q99062
PF00089,Trypsin,P08246
PF09240,IL6Ra-bind,P15509
PF09240,IL6Ra-bind,P26951
PF00041,fn3,P32927
PF09240,IL6Ra-bind,P32927
PF01034,Syndecan,P34741
PF00059,Lectin_C,P13727
PF00002,7tm_2,P47872
PF02793,HRM,P47872
PF01108,Tissue_fac,P17181
