identifier,name,polypeptide_id
PF03098,An_peroxidase,P35354
PF00008,EGF,P35354
PF03098,An_peroxidase,P05164
PF00067,p450,P05177
PF00067,p450,P05177
PF00067,p450,P10635
PF00594,Gla,P00734
PF00051,Kringle,P00734
PF00089,Trypsin,P00734
PF09396,Thrombin_light,P00734
PF00008,EGF,P04070
PF00594,Gla,P04070
PF00089,Trypsin,P04070
PF00067,p450,P05177
PF00067,p450,P05177
PF03098,An_peroxidase,P23219
PF00008,EGF,P23219
PF03098,An_peroxidase,P35354
PF00008,EGF,P35354
PF03098,An_peroxidase,P35354
PF00008,EGF,P35354
PF00168,C2,P47712
PF01735,PLA2_B,P47712
PF00067,p450,P08684
PF00111,Fer2,P47989
PF01315,Ald_Xan_dh_C,P47989
PF02738,Ald_Xan_dh_C2,P47989
PF01799,Fer2_2,P47989
PF03450,CO_deh_flav_C,P47989
PF00941,FAD_binding_5,P47989
PF00067,p450,P05181
PF00067,p450,P05177
PF00067,p450,P05177
PF00067,p450,P05177
PF00067,p450,P11511
PF00067,p450,Q02318
PF00120,Gln-synt_C,P15104
PF03951,Gln-synt_N,P15104
PF00067,p450,P33260
PF00067,p450,P08684
PF00135,COesterase,P06276
PF08674,AChE_tetra,P06276
PF00067,p450,P33261
PF00067,p450,Q02928
PF00168,C2,P47712
PF01735,PLA2_B,P47712
PF00067,p450,P24462
PF00067,p450,P20815
PF00067,p450,P08684
PF00067,p450,P33261
PF00067,p450,P10632
PF00067,p450,P11712
PF00067,p450,P10635
PF03098,An_peroxidase,P05164
PF00067,p450,P05177
PF00326,Peptidase_S9,P48147
PF02897,Peptidase_S9_N,P48147
PF00067,p450,P33261
PF00067,p450,P05181
PF01923,Cob_adeno_trans,Q96EY8
PF02310,B12-binding,P22033
PF01642,MM_CoA_mutase,P22033
PF00809,Pterin_bind,Q99707
PF02310,B12-binding,Q99707
PF02607,B12-binding_2,Q99707
PF02965,Met_synt_B12,Q99707
PF02574,S-methyl_trans,Q99707
PF02283,CobU,Q05599
PF00067,p450,P05181
PF01564,Spermine_synth,P19623
PF00067,p450,Q16678
PF01066,CDP-OH_P_transf,Q9Y6K0
PF01633,Choline_kinase,Q9Y259
PF00755,Carn_acyltransf,P28329
PF01633,Choline_kinase,P35790
PF05199,GMC_oxred_C,Q8NE62
PF00732,GMC_oxred_N,Q8NE62
PF00111,Fer2,P47989
PF01315,Ald_Xan_dh_C,P47989
PF02738,Ald_Xan_dh_C2,P47989
PF01799,Fer2_2,P47989
PF03450,CO_deh_flav_C,P47989
PF00941,FAD_binding_5,P47989
PF00583,Acetyltransf_1,P21673
PF00583,Acetyltransf_1,Q96F10
PF01841,Transglut_core,P00488
PF00868,Transglut_N,P00488
PF00927,Transglut_C,P00488
PF04960,Glutaminase,O94925
PF12796,Ank_2,O94925
PF04960,Glutaminase,Q9UI32
PF12796,Ank_2,Q9UI32
PF01841,Transglut_core,P21980
PF00868,Transglut_N,P21980
PF00927,Transglut_C,P21980
PF01841,Transglut_core,O43548
PF00868,Transglut_N,O43548
PF00927,Transglut_C,O43548
PF01841,Transglut_core,O95932
PF00868,Transglut_N,O95932
PF00927,Transglut_C,O95932
PF01841,Transglut_core,P22735
PF00868,Transglut_N,P22735
PF00927,Transglut_C,P22735
PF01841,Transglut_core,P49221
PF00868,Transglut_N,P49221
PF00927,Transglut_C,P49221
PF01841,Transglut_core,Q08188
PF00868,Transglut_N,Q08188
PF00927,Transglut_C,Q08188
PF01841,Transglut_core,Q96PF1
PF00868,Transglut_N,Q96PF1
PF00927,Transglut_C,Q96PF1
PF00117,GATase,P49915
PF00958,GMP_synt_C,P49915
PF02540,NAD_synthase,P49915
PF00733,Asn_synthase,P08243
PF13537,GATase_7,P08243
PF00155,Aminotran_1_2,Q16773
PF02769,AIRS_C,O15067
PF02934,GatB_N,O75879
PF02637,GatB_Yqey,O75879
PF01380,SIS,O94808
PF00185,OTCace,P27708
PF02729,OTCace_N,P27708
PF00117,GATase,P27708
PF01979,Amidohydro_1,P27708
PF02786,CPSase_L_D2,P27708
PF02142,MGS,P27708
PF02787,CPSase_L_D3,P27708
PF00988,CPSase_sm_chain,P27708
PF00749,tRNA-synt_1c,P47897
PF03950,tRNA-synt_1c_C,P47897
PF04558,tRNA_synt_1c_R1,P47897
PF04557,tRNA_synt_1c_R2,P47897
PF00795,CN_hydrolase,Q6IA69
PF02540,NAD_synthase,Q6IA69
PF00962,A_deaminase,P23109
PF00156,Pribosyltran,P07741
PF00120,Gln-synt_C,P15104
PF03951,Gln-synt_N,P15104
PF02219,MTHFR,P42898
PF02773,S-AdoMet_synt_C,P31153
PF02772,S-AdoMet_synt_M,P31153
PF00438,S-AdoMet_synt_N,P31153
PF01641,SelR,Q9Y3D2
PF02773,S-AdoMet_synt_C,Q00266
PF02772,S-AdoMet_synt_M,Q00266
PF00438,S-AdoMet_synt_N,Q00266
PF01641,SelR,Q9NZV6
PF01625,PMSR,Q9UJ68
PF00458,WHEP-TRS,P56192
PF00043,GST_C,P56192
PF09334,tRNA-synt_1g,P56192
PF09334,tRNA-synt_1g,Q96GW9
PF04321,RmlD_sub_bind,Q9NZL9
PF00067,p450,Q07973
PF00067,p450,P08684
PF01593,Amino_oxidase,P21397
PF02219,MTHFR,P42898
PF00043,GST_C,P09210
PF02798,GST_N,P09210
PF00043,GST_C,P08263
PF02798,GST_N,P08263
PF00067,p450,O15528
PF00067,p450,Q07973
PF03301,Trp_dioxygenase,P48775
PF00282,Pyridoxal_deC,P20711
PF00579,tRNA-synt_1b,P00953
PF00579,tRNA-synt_1b,Q9UGM6
PF00351,Biopterin_H,P17752
PF00351,Biopterin_H,Q8IWU9
PF00458,WHEP-TRS,P23381
PF00579,tRNA-synt_1b,P23381
PF01231,IDO,P14902
PF00067,p450,P13584
PF00067,p450,Q07973
PF00067,p450,O15528
PF00067,p450,Q02318
PF00067,p450,P08684
PF00067,p450,Q6VVX0
PF00111,Fer2,P47989
PF01315,Ald_Xan_dh_C,P47989
PF02738,Ald_Xan_dh_C2,P47989
PF01799,Fer2_2,P47989
PF03450,CO_deh_flav_C,P47989
PF00941,FAD_binding_5,P47989
PF00111,Fer2,Q06278
PF01315,Ald_Xan_dh_C,Q06278
PF02738,Ald_Xan_dh_C2,Q06278
PF01799,Fer2_2,Q06278
PF03450,CO_deh_flav_C,Q06278
PF00941,FAD_binding_5,Q06278
PF08240,ADH_N,P28332
PF00107,ADH_zinc_N,P28332
PF00248,Aldo_ket_red,P14550
PF08240,ADH_N,P07327
PF00107,ADH_zinc_N,P07327
PF08240,ADH_N,P00325
PF00107,ADH_zinc_N,P00325
PF08240,ADH_N,P08319
PF00107,ADH_zinc_N,P08319
PF08240,ADH_N,P11766
PF00107,ADH_zinc_N,P11766
PF08240,ADH_N,P40394
PF00107,ADH_zinc_N,P40394
PF00067,p450,P05181
PF07722,Peptidase_C26,Q92820
PF02219,MTHFR,P42898
PF08264,Anticodon_1,P26640
PF00133,tRNA-synt_1,P26640
PF00043,GST_C,P26640
PF01039,Carboxyl_trans,P05166
PF01063,Aminotran_4,P54687
PF00067,p450,P04798
PF00067,p450,O43174
PF00043,GST_C,P09210
PF02798,GST_N,P09210
