resource,identifier,polypeptide_id
HUGO Gene Nomenclature Committee (HGNC),HGNC:40,P08183
GenAtlas,ABCB1,P08183
GenBank Gene Database,M14758,P08183
GenBank Protein Database,307180,P08183
UniProtKB,P08183,P08183
UniProt Accession,MDR1_HUMAN,P08183
HUGO Gene Nomenclature Committee (HGNC),HGNC:53,Q92887
GenAtlas,ABCC2,Q92887
GenBank Gene Database,U63970,Q92887
GenBank Protein Database,1764162,Q92887
Guide to Pharmacology,780,Q92887
UniProtKB,Q92887,Q92887
UniProt Accession,MRP2_HUMAN,Q92887
HUGO Gene Nomenclature Committee (HGNC),HGNC:40,P08183
GenAtlas,ABCB1,P08183
GenBank Gene Database,M14758,P08183
GenBank Protein Database,307180,P08183
UniProtKB,P08183,P08183
UniProt Accession,MDR1_HUMAN,P08183
HUGO Gene Nomenclature Committee (HGNC),HGNC:54,O15438
GenAtlas,ABCC3,O15438
GenBank Gene Database,AB010887,O15438
GenBank Protein Database,3132270,O15438
UniProtKB,O15438,O15438
UniProt Accession,MRP3_HUMAN,O15438
HUGO Gene Nomenclature Committee (HGNC),HGNC:42,O95342
GenAtlas,ABCB11,O95342
GenBank Gene Database,AF091582,O95342
GenBank Protein Database,3873243,O95342
Guide to Pharmacology,778,O95342
UniProtKB,O95342,O95342
UniProt Accession,ABCBB_HUMAN,O95342
HUGO Gene Nomenclature Committee (HGNC),HGNC:51,P33527
GenAtlas,ABCC1,P33527
GenBank Gene Database,L05628,P33527
GenBank Protein Database,1835659,P33527
Guide to Pharmacology,779,P33527
UniProtKB,P33527,P33527
UniProt Accession,MRP1_HUMAN,P33527
HUGO Gene Nomenclature Committee (HGNC),HGNC:10956,P46721
GenBank Gene Database,U21943,P46721
GenBank Protein Database,885978,P46721
UniProtKB,P46721,P46721
UniProt Accession,SO1A2_HUMAN,P46721
HUGO Gene Nomenclature Committee (HGNC),HGNC:10906,Q12908
GenBank Gene Database,U10417,Q12908
GenBank Protein Database,595399,Q12908
Guide to Pharmacology,960,Q12908
UniProtKB,Q12908,Q12908
UniProt Accession,NTCP2_HUMAN,Q12908
HUGO Gene Nomenclature Committee (HGNC),HGNC:10905,Q14973
GenBank Gene Database,L21893,Q14973
GenBank Protein Database,410214,Q14973
Guide to Pharmacology,959,Q14973
UniProtKB,Q14973,Q14973
UniProt Accession,NTCP_HUMAN,Q14973
HUGO Gene Nomenclature Committee (HGNC),HGNC:10970,Q4U2R8
GenAtlas,hROAT1,Q4U2R8
GenBank Gene Database,AF057039,Q4U2R8
GenBank Protein Database,3831566,Q4U2R8
Guide to Pharmacology,1025,Q4U2R8
UniProtKB,Q4U2R8,Q4U2R8
UniProt Accession,S22A6_HUMAN,Q4U2R8
HUGO Gene Nomenclature Committee (HGNC),HGNC:52,Q5T3U5
GenBank Gene Database,AY032599,Q5T3U5
GenBank Protein Database,21103955,Q5T3U5
UniProtKB,Q5T3U5,Q5T3U5
UniProt Accession,MRP7_HUMAN,Q5T3U5
HUGO Gene Nomenclature Committee (HGNC),HGNC:53,Q92887
GenAtlas,ABCC2,Q92887
GenBank Gene Database,U63970,Q92887
GenBank Protein Database,1764162,Q92887
Guide to Pharmacology,780,Q92887
UniProtKB,Q92887,Q92887
UniProt Accession,MRP2_HUMAN,Q92887
HUGO Gene Nomenclature Committee (HGNC),HGNC:74,Q9UNQ0
GenAtlas,ABCG2,Q9UNQ0
GenBank Gene Database,AF103796,Q9UNQ0
GenBank Protein Database,4185796,Q9UNQ0
Guide to Pharmacology,792,Q9UNQ0
UniProtKB,Q9UNQ0,Q9UNQ0
UniProt Accession,ABCG2_HUMAN,Q9UNQ0
HUGO Gene Nomenclature Committee (HGNC),HGNC:10959,Q9Y6L6
GenAtlas,SLCO1B1,Q9Y6L6
GenBank Gene Database,AF060500,Q9Y6L6
GenBank Protein Database,5051630,Q9Y6L6
Guide to Pharmacology,1220,Q9Y6L6
UniProtKB,Q9Y6L6,Q9Y6L6
UniProt Accession,SO1B1_HUMAN,Q9Y6L6
HUGO Gene Nomenclature Committee (HGNC),HGNC:14604,Q9BXJ7
GenAtlas,AMN,Q9BXJ7
GenBank Gene Database,AF328788,Q9BXJ7
GenBank Protein Database,13507259,Q9BXJ7
UniProtKB,Q9BXJ7,Q9BXJ7
UniProt Accession,AMNLS_HUMAN,Q9BXJ7
HUGO Gene Nomenclature Committee (HGNC),HGNC:11652,P20061
GenAtlas,TCN1,P20061
GenBank Gene Database,J05068,P20061
GenBank Protein Database,307479,P20061
UniProtKB,P20061,P20061
UniProt Accession,TCO1_HUMAN,P20061
HUGO Gene Nomenclature Committee (HGNC),HGNC:11653,P20062
GenAtlas,TCN2,P20062
GenBank Gene Database,M60396,P20062
GenBank Protein Database,339196,P20062
UniProtKB,P20062,P20062
UniProt Accession,TCO2_HUMAN,P20062
HUGO Gene Nomenclature Committee (HGNC),HGNC:4268,P27352
UniProtKB,P27352,P27352
UniProt Accession,IF_HUMAN,P27352
HUGO Gene Nomenclature Committee (HGNC),HGNC:2548,O60494
GenAtlas,CUBN,O60494
GenBank Gene Database,AF034611,O60494
GenBank Protein Database,3929529,O60494
UniProtKB,O60494,O60494
UniProt Accession,CUBN_HUMAN,O60494
HUGO Gene Nomenclature Committee (HGNC),HGNC:7468,Q99707
GenAtlas,MTR,Q99707
GenBank Gene Database,U71285,Q99707
GenBank Protein Database,1923221,Q99707
UniProtKB,Q99707,Q99707
UniProt Accession,METH_HUMAN,Q99707
HUGO Gene Nomenclature Committee (HGNC),HGNC:53,Q92887
GenAtlas,ABCC2,Q92887
GenBank Gene Database,U63970,Q92887
GenBank Protein Database,1764162,Q92887
Guide to Pharmacology,780,Q92887
UniProtKB,Q92887,Q92887
UniProt Accession,MRP2_HUMAN,Q92887
HUGO Gene Nomenclature Committee (HGNC),HGNC:17027,Q8TF71
GenBank Gene Database,AB057445,Q8TF71
GenBank Protein Database,18640047,Q8TF71
UniProtKB,Q8TF71,Q8TF71
UniProt Accession,MOT10_HUMAN,Q8TF71
HUGO Gene Nomenclature Committee (HGNC),HGNC:10928,O60669
GenAtlas,SLC16A7,O60669
GenBank Gene Database,AF058056,O60669
GenBank Protein Database,3047402,O60669
Guide to Pharmacology,990,O60669
UniProtKB,O60669,O60669
UniProt Accession,MOT2_HUMAN,O60669
HUGO Gene Nomenclature Committee (HGNC),HGNC:10922,P53985
GenAtlas,SLC16A1,P53985
GenBank Gene Database,L31801,P53985
GenBank Protein Database,561722,P53985
Guide to Pharmacology,988,P53985
UniProtKB,P53985,P53985
UniProt Accession,MOT1_HUMAN,P53985
HUGO Gene Nomenclature Committee (HGNC),HGNC:17027,Q8TF71
GenBank Gene Database,AB057445,Q8TF71
GenBank Protein Database,18640047,Q8TF71
UniProtKB,Q8TF71,Q8TF71
UniProt Accession,MOT10_HUMAN,Q8TF71
HUGO Gene Nomenclature Committee (HGNC),HGNC:10955,Q92959
GenBank Gene Database,U70867,Q92959
GenBank Protein Database,1617590,Q92959
UniProtKB,Q92959,Q92959
UniProt Accession,SO2A1_HUMAN,Q92959
HUGO Gene Nomenclature Committee (HGNC),HGNC:10924,O15427
GenAtlas,SLC16A3,O15427
GenBank Gene Database,U81800,O15427
GenBank Protein Database,2463634,O15427
UniProtKB,O15427,O15427
UniProt Accession,MOT4_HUMAN,O15427
HUGO Gene Nomenclature Committee (HGNC),HGNC:17027,Q8TF71
GenBank Gene Database,AB057445,Q8TF71
GenBank Protein Database,18640047,Q8TF71
UniProtKB,Q8TF71,Q8TF71
UniProt Accession,MOT10_HUMAN,Q8TF71
HUGO Gene Nomenclature Committee (HGNC),HGNC:10966,O15244
GenBank Gene Database,X98333,O15244
GenBank Protein Database,2281942,O15244
Guide to Pharmacology,1020,O15244
UniProtKB,O15244,O15244
UniProt Accession,S22A2_HUMAN,O15244
HUGO Gene Nomenclature Committee (HGNC),HGNC:10963,O15245
GenBank Gene Database,X98332,O15245
GenBank Protein Database,2511670,O15245
Guide to Pharmacology,1019,O15245
UniProtKB,O15245,O15245
UniProt Accession,S22A1_HUMAN,O15245
HUGO Gene Nomenclature Committee (HGNC),HGNC:10967,O75751
GenBank Gene Database,AJ001417,O75751
GenBank Protein Database,3581982,O75751
Guide to Pharmacology,1021,O75751
UniProtKB,O75751,O75751
UniProt Accession,S22A3_HUMAN,O75751
HUGO Gene Nomenclature Committee (HGNC),HGNC:10969,O76082
GenAtlas,SLC22A5,O76082
GenBank Gene Database,AF057164,O76082
GenBank Protein Database,3273741,O76082
