category,description,polypeptide_id
component,platelet alpha granule lumen,P02768
component,extracellular space,P02768
component,blood microparticle,P02768
component,protein complex,P02768
component,Golgi apparatus,P02768
component,extracellular exosome,P02768
component,myelin sheath,P02768
component,extracellular region,P02768
component,nucleus,P02768
component,endoplasmic reticulum,P02768
function,drug binding,P02768
function,pyridoxal phosphate binding,P02768
function,fatty acid binding,P02768
function,copper ion binding,P02768
function,antioxidant activity,P02768
function,chaperone binding,P02768
function,toxic substance binding,P02768
function,DNA binding,P02768
process,negative regulation of programmed cell death,P02768
process,platelet degranulation,P02768
process,retina homeostasis,P02768
process,platelet activation,P02768
process,transport,P02768
process,sodium-independent organic anion transport,P02768
process,lipoprotein metabolic process,P02768
process,bile acid metabolic process,P02768
process,small molecule metabolic process,P02768
process,bile acid and bile salt transport,P02768
process,blood coagulation,P02768
process,transmembrane transport,P02768
process,cellular response to starvation,P02768
process,receptor-mediated endocytosis,P02768
process,hemolysis by symbiont of host erythrocytes,P02768
process,negative regulation of apoptotic process,P02768
process,maintenance of mitochondrion location,P02768
component,extracellular region,P20062
component,extracellular space,P20062
component,extracellular exosome,P20062
component,endosome,P20062
component,lysosomal lumen,P20062
function,cobalamin binding,P20062
function,metal ion binding,P20062
process,cobalamin metabolic process,P20062
process,cobalt ion transport,P20062
process,cobalamin transport,P20062
process,small molecule metabolic process,P20062
process,vitamin metabolic process,P20062
process,water-soluble vitamin metabolic process,P20062
component,cytoplasm,O15540
component,cell periphery,O15540
component,cytosol,O15540
component,nucleoplasm,O15540
component,neuronal cell body,O15540
component,cell-cell junction,O15540
component,cell projection,O15540
function,transporter activity,O15540
function,lipid binding,O15540
process,cell proliferation in forebrain,O15540
process,prepulse inhibition,O15540
process,small molecule metabolic process,O15540
process,triglyceride catabolic process,O15540
process,neurogenesis,O15540
process,epithelial cell proliferation,O15540
process,negative regulation of cell proliferation,O15540
process,nervous system development,O15540
component,platelet alpha granule lumen,P02768
component,extracellular space,P02768
component,blood microparticle,P02768
component,protein complex,P02768
component,Golgi apparatus,P02768
component,extracellular exosome,P02768
component,myelin sheath,P02768
component,extracellular region,P02768
component,nucleus,P02768
component,endoplasmic reticulum,P02768
function,drug binding,P02768
function,pyridoxal phosphate binding,P02768
function,fatty acid binding,P02768
function,copper ion binding,P02768
function,antioxidant activity,P02768
function,chaperone binding,P02768
function,toxic substance binding,P02768
function,DNA binding,P02768
process,negative regulation of programmed cell death,P02768
process,platelet degranulation,P02768
process,retina homeostasis,P02768
process,platelet activation,P02768
process,transport,P02768
process,sodium-independent organic anion transport,P02768
process,lipoprotein metabolic process,P02768
process,bile acid metabolic process,P02768
process,small molecule metabolic process,P02768
process,bile acid and bile salt transport,P02768
process,blood coagulation,P02768
process,transmembrane transport,P02768
process,cellular response to starvation,P02768
process,receptor-mediated endocytosis,P02768
process,hemolysis by symbiont of host erythrocytes,P02768
process,negative regulation of apoptotic process,P02768
process,maintenance of mitochondrion location,P02768
component,cytoplasm,O15540
component,cell periphery,O15540
component,cytosol,O15540
component,nucleoplasm,O15540
component,neuronal cell body,O15540
component,cell-cell junction,O15540
component,cell projection,O15540
function,transporter activity,O15540
function,lipid binding,O15540
process,cell proliferation in forebrain,O15540
process,prepulse inhibition,O15540
process,small molecule metabolic process,O15540
process,triglyceride catabolic process,O15540
process,neurogenesis,O15540
process,epithelial cell proliferation,O15540
process,negative regulation of cell proliferation,O15540
process,nervous system development,O15540
component,platelet alpha granule lumen,P02768
component,extracellular space,P02768
component,blood microparticle,P02768
component,protein complex,P02768
component,Golgi apparatus,P02768
component,extracellular exosome,P02768
component,myelin sheath,P02768
component,extracellular region,P02768
component,nucleus,P02768
component,endoplasmic reticulum,P02768
function,drug binding,P02768
function,pyridoxal phosphate binding,P02768
function,fatty acid binding,P02768
function,copper ion binding,P02768
function,antioxidant activity,P02768
function,chaperone binding,P02768
function,toxic substance binding,P02768
function,DNA binding,P02768
process,negative regulation of programmed cell death,P02768
process,platelet degranulation,P02768
process,retina homeostasis,P02768
process,platelet activation,P02768
process,transport,P02768
process,sodium-independent organic anion transport,P02768
process,lipoprotein metabolic process,P02768
process,bile acid metabolic process,P02768
process,small molecule metabolic process,P02768
process,bile acid and bile salt transport,P02768
process,blood coagulation,P02768
process,transmembrane transport,P02768
process,cellular response to starvation,P02768
process,receptor-mediated endocytosis,P02768
process,hemolysis by symbiont of host erythrocytes,P02768
process,negative regulation of apoptotic process,P02768
process,maintenance of mitochondrion location,P02768
component,cytoplasm,O15540
component,cell periphery,O15540
component,cytosol,O15540
component,nucleoplasm,O15540
component,neuronal cell body,O15540
component,cell-cell junction,O15540
component,cell projection,O15540
function,transporter activity,O15540
function,lipid binding,O15540
process,cell proliferation in forebrain,O15540
process,prepulse inhibition,O15540
process,small molecule metabolic process,O15540
process,triglyceride catabolic process,O15540
process,neurogenesis,O15540
process,epithelial cell proliferation,O15540
process,negative regulation of cell proliferation,O15540
process,nervous system development,O15540
component,platelet alpha granule lumen,P02768
component,extracellular space,P02768
component,blood microparticle,P02768
component,protein complex,P02768
component,Golgi apparatus,P02768
component,extracellular exosome,P02768
component,myelin sheath,P02768
component,extracellular region,P02768
component,nucleus,P02768
component,endoplasmic reticulum,P02768
function,drug binding,P02768
function,pyridoxal phosphate binding,P02768
function,fatty acid binding,P02768
function,copper ion binding,P02768
function,antioxidant activity,P02768
function,chaperone binding,P02768
function,toxic substance binding,P02768
function,DNA binding,P02768
process,negative regulation of programmed cell death,P02768
process,platelet degranulation,P02768
process,retina homeostasis,P02768
process,platelet activation,P02768
process,transport,P02768
process,sodium-independent organic anion transport,P02768
process,lipoprotein metabolic process,P02768
process,bile acid metabolic process,P02768
process,small molecule metabolic process,P02768
process,bile acid and bile salt transport,P02768
process,blood coagulation,P02768
process,transmembrane transport,P02768
process,cellular response to starvation,P02768
process,receptor-mediated endocytosis,P02768
process,hemolysis by symbiont of host erythrocytes,P02768
process,negative regulation of apoptotic process,P02768
process,maintenance of mitochondrion location,P02768
component,cytoplasm,P82980
component,extracellular exosome,P82980
function,transporter activity,P82980
function,retinoid binding,P82980
function,retinal binding,P82980
function,retinol binding,P82980
component,cytoplasm,Q96R05
function,transporter activity,Q96R05
function,retinal binding,Q96R05
function,retinol binding,Q96R05
component,protein complex,P02753
component,extracellular region,P02753
component,extracellular space,P02753
component,cytosol,P02753
component,extracellular exosome,P02753
function,retinol transporter activity,P02753
function,retinal binding,P02753
function,retinol binding,P02753
process,positive regulation of insulin secretion,P02753
process,vagina development,P02753
process,heart development,P02753
process,"phototransduction, visible light",P02753
process,embryonic organ morphogenesis,P02753
process,negative regulation of cardiac muscle cell proliferation,P02753
process,embryonic retina morphogenesis in camera-type eye,P02753
process,gluconeogenesis,P02753
process,eye development,P02753
process,visual perception,P02753
process,female genitalia morphogenesis,P02753
process,response to retinoic acid,P02753
process,retinoid metabolic process,P02753
process,heart trabecula formation,P02753
process,response to ethanol,P02753
process,maintenance of gastrointestinal epithelium,P02753
process,retinol metabolic process,P02753
process,positive regulation of immunoglobulin secretion,P02753
process,glucose homeostasis,P02753
process,uterus development,P02753
process,retinol transport,P02753
process,embryonic skeletal system development,P02753
process,cardiac muscle tissue development,P02753
process,urinary bladder development,P02753
process,lung development,P02753
component,cytosol,P50120
function,transporter activity,P50120
function,retinoid binding,P50120
function,retinal binding,P50120
function,retinol binding,P50120
process,epidermis development,P50120
process,"phototransduction, visible light",P50120
process,retinoid metabolic process,P50120
process,vitamin A metabolic process,P50120
component,platelet alpha granule lumen,P02768
component,extracellular space,P02768
component,blood microparticle,P02768
component,protein complex,P02768
component,Golgi apparatus,P02768
component,extracellular exosome,P02768
component,myelin sheath,P02768
component,extracellular region,P02768
component,nucleus,P02768
component,endoplasmic reticulum,P02768
function,drug binding,P02768
function,pyridoxal phosphate binding,P02768
function,fatty acid binding,P02768
function,copper ion binding,P02768
function,antioxidant activity,P02768
function,chaperone binding,P02768
function,toxic substance binding,P02768
function,DNA binding,P02768
process,negative regulation of programmed cell death,P02768
process,platelet degranulation,P02768
process,retina homeostasis,P02768
process,platelet activation,P02768
process,transport,P02768
process,sodium-independent organic anion transport,P02768
process,lipoprotein metabolic process,P02768
process,bile acid metabolic process,P02768
process,small molecule metabolic process,P02768
process,bile acid and bile salt transport,P02768
process,blood coagulation,P02768
process,transmembrane transport,P02768
process,cellular response to starvation,P02768
process,receptor-mediated endocytosis,P02768
process,hemolysis by symbiont of host erythrocytes,P02768
process,negative regulation of apoptotic process,P02768
process,maintenance of mitochondrion location,P02768
component,cytosol,P49638
component,late endosome,P49638
function,transporter activity,P49638
function,vitamin E binding,P49638
function,"phosphatidylinositol-4,5-bisphosphate binding",P49638
function,"phosphatidylinositol-3,4-bisphosphate binding",P49638
process,transport,P49638
process,embryonic placenta development,P49638
process,vitamin transport,P49638
process,intermembrane transport,P49638
process,intracellular pH reduction,P49638
process,lipid metabolic process,P49638
process,negative regulation of cell death,P49638
process,response to toxic substance,P49638
process,negative regulation of establishment of blood-brain barrier,P49638
process,response to nutrient,P49638
process,vitamin E metabolic process,P49638
process,response to pH,P49638
component,extracellular region,P02774
component,blood microparticle,P02774
component,extracellular space,P02774
component,lysosomal lumen,P02774
component,axon,P02774
component,cytosol,P02774
component,extracellular exosome,P02774
component,perinuclear region of cytoplasm,P02774
function,actin binding,P02774
function,calcidiol binding,P02774
function,vitamin D binding,P02774
function,vitamin transporter activity,P02774
process,response to nutrient levels,P02774
process,vitamin transport,P02774
process,female pregnancy,P02774
process,lactation,P02774
process,small molecule metabolic process,P02774
process,vitamin D metabolic process,P02774
process,response to estradiol,P02774
process,steroid metabolic process,P02774
component,platelet alpha granule lumen,P02768
component,extracellular space,P02768
component,blood microparticle,P02768
component,protein complex,P02768
component,Golgi apparatus,P02768
component,extracellular exosome,P02768
component,myelin sheath,P02768
component,extracellular region,P02768
component,nucleus,P02768
component,endoplasmic reticulum,P02768
function,drug binding,P02768
function,pyridoxal phosphate binding,P02768
function,fatty acid binding,P02768
function,copper ion binding,P02768
function,antioxidant activity,P02768
function,chaperone binding,P02768
function,toxic substance binding,P02768
function,DNA binding,P02768
process,negative regulation of programmed cell death,P02768
process,platelet degranulation,P02768
process,retina homeostasis,P02768
process,platelet activation,P02768
process,transport,P02768
process,sodium-independent organic anion transport,P02768
process,lipoprotein metabolic process,P02768
process,bile acid metabolic process,P02768
process,small molecule metabolic process,P02768
process,bile acid and bile salt transport,P02768
process,blood coagulation,P02768
process,transmembrane transport,P02768
process,cellular response to starvation,P02768
process,receptor-mediated endocytosis,P02768
