synonyms,polypeptide_id
"3.4.21.5,Coagulation factor II",P00734
"2.7.10.1,ERBB,ERBB1,HER1,Proto-oncogene c-ErbB-1,Receptor tyrosine-protein kinase erbB-1",P00533
"CD16B,Fc-gamma RIII,Fc-gamma RIII-beta,Fc-gamma RIIIb,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIb,IGFR3,IgG Fc receptor III-1",O75015
"3.4.21.41,Complement component 1 subcomponent r",P00736
Complement C1q subcomponent subunit A precursor,P02745
Complement C1q subcomponent subunit B precursor,P02746
C1QG,P02747
"CD16A,CD16a antigen,Fc-gamma RIII,Fc-gamma RIII-alpha,Fc-gamma RIIIa,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIa,IGFR3,IgG Fc receptor III-2",P08637
"3.4.21.42,C1 esterase,Complement component 1 subcomponent s",P09871
"Fc-gamma RI,Fc-gamma RIA,FCG1,FcgammaRIa,FCGR1,FcRI,IGFR1,IgG Fc receptor I",P12314
"CD32,CDw32,Fc-gamma RII-a,Fc-gamma-RIIa,FCG2,FCGR2A1,FcRII-a,IGFR2,IgG Fc receptor II-a",P12318
"CD32,CDw32,Fc-gamma RII-b,Fc-gamma-RIIb,FCG2,FcRII-b,IGFR2,IgG Fc receptor II-b",P31994
"CD32,CDw32,Fc-gamma RII-c,Fc-gamma-RIIc,FCG2,FcRII-c,IGFR2,IgG Fc receptor II-c",P31995
"IL-2 receptor subunit alpha,p55,TAC antigen",P01589
"High affinity IL-2 receptor subunit beta,IL-2 receptor subunit beta,p70-75,p75",P14784
"gammaC,IL-2 receptor subunit gamma,IL-2R subunit gamma,IL-2RG,Interleukin-2 receptor subunit gamma,p64",P31785
"Cachectin,TNF-a,TNF-alpha,TNFA,TNFSF2,Tumor necrosis factor ligand superfamily member 2",P01375
"p75,p80 TNF-alpha receptor,TNF-R2,TNF-RII,TNFBR,TNFR-II,TNFR2,Tumor necrosis factor receptor 2,Tumor necrosis factor receptor type II",P20333
"Fc-gamma RI,Fc-gamma RIA,FCG1,FcgammaRIa,FCGR1,FcRI,IGFR1,IgG Fc receptor I",P12314
"CD16A,CD16a antigen,Fc-gamma RIII,Fc-gamma RIII-alpha,Fc-gamma RIIIa,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIa,IGFR3,IgG Fc receptor III-2",P08637
"CD32,CDw32,Fc-gamma RII-a,Fc-gamma-RIIa,FCG2,FCGR2A1,FcRII-a,IGFR2,IgG Fc receptor II-a",P12318
"CD32,CDw32,Fc-gamma RII-b,Fc-gamma-RIIb,FCG2,FcRII-b,IGFR2,IgG Fc receptor II-b",P31994
"CD32,CDw32,Fc-gamma RII-c,Fc-gamma-RIIc,FCG2,FcRII-c,IGFR2,IgG Fc receptor II-c",P31995
"LT-alpha,TNF-beta,TNFB,TNFSF1,Tumor necrosis factor ligand superfamily member 1",P01374
"CD16B,Fc-gamma RIII,Fc-gamma RIII-beta,Fc-gamma RIIIb,FCG3,FCGR3,FcR-10,FcRIII,FcRIIIb,IGFR3,IgG Fc receptor III-1",O75015
