resource,identifier,polypeptide_id
HUGO Gene Nomenclature Committee (HGNC),HGNC:399,P02768
GenAtlas,ALB,P02768
GenBank Gene Database,V00494,P02768
GenBank Protein Database,28590,P02768
UniProtKB,P02768,P02768
UniProt Accession,ALBU_HUMAN,P02768
HUGO Gene Nomenclature Committee (HGNC),HGNC:11653,P20062
GenAtlas,TCN2,P20062
GenBank Gene Database,M60396,P20062
GenBank Protein Database,339196,P20062
UniProtKB,P20062,P20062
UniProt Accession,TCO2_HUMAN,P20062
HUGO Gene Nomenclature Committee (HGNC),HGNC:3562,O15540
GenAtlas,FABP7,O15540
GenBank Gene Database,AJ002962,O15540
GenBank Protein Database,2632065,O15540
UniProtKB,O15540,O15540
UniProt Accession,FABP7_HUMAN,O15540
HUGO Gene Nomenclature Committee (HGNC),HGNC:399,P02768
GenAtlas,ALB,P02768
GenBank Gene Database,V00494,P02768
GenBank Protein Database,28590,P02768
UniProtKB,P02768,P02768
UniProt Accession,ALBU_HUMAN,P02768
HUGO Gene Nomenclature Committee (HGNC),HGNC:3562,O15540
GenAtlas,FABP7,O15540
GenBank Gene Database,AJ002962,O15540
GenBank Protein Database,2632065,O15540
UniProtKB,O15540,O15540
UniProt Accession,FABP7_HUMAN,O15540
HUGO Gene Nomenclature Committee (HGNC),HGNC:399,P02768
GenAtlas,ALB,P02768
GenBank Gene Database,V00494,P02768
GenBank Protein Database,28590,P02768
UniProtKB,P02768,P02768
UniProt Accession,ALBU_HUMAN,P02768
HUGO Gene Nomenclature Committee (HGNC),HGNC:3562,O15540
GenAtlas,FABP7,O15540
GenBank Gene Database,AJ002962,O15540
GenBank Protein Database,2632065,O15540
UniProtKB,O15540,O15540
UniProt Accession,FABP7_HUMAN,O15540
HUGO Gene Nomenclature Committee (HGNC),HGNC:399,P02768
GenAtlas,ALB,P02768
GenBank Gene Database,V00494,P02768
GenBank Protein Database,28590,P02768
UniProtKB,P02768,P02768
UniProt Accession,ALBU_HUMAN,P02768
